Departure Station,Arrival Destination,Railcard,Ticket Type,Lead Time,Price
london kings cross,york,no railcard,anytime,0 days,70
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2
london paddington,reading,no railcard,advance,10 days,27
manchester piccadilly,liverpool lime street,no railcard,advance,6 days,3
manchester piccadilly,liverpool lime street,no railcard,advance,12 days,3
manchester piccadilly,leeds,adult,off-peak,0 days,15
london paddington,reading,senior,advance,9 days,8
london kings cross,york,no railcard,advance,16 days,57
london kings cross,york,no railcard,advance,11 days,57
manchester piccadilly,liverpool lime street,senior,advance,15 days,2
london euston,manchester piccadilly,no railcard,advance,4 days,72
london euston,birmingham new street,no railcard,advance,4 days,7
london paddington,reading,no railcard,advance,1 days,13
london euston,manchester piccadilly,no railcard,advance,11 days,72
london euston,birmingham new street,adult,advance,12 days,4
london st pancras,birmingham new street,no railcard,advance,2 days,8
birmingham new street,london st pancras,disabled,advance,2 days,15
birmingham new street,london st pancras,disabled,advance,8 days,39
york,doncaster,disabled,advance,4 days,4
birmingham new street,stafford,no railcard,advance,6 days,5
manchester piccadilly,liverpool lime street,no railcard,advance,13 days,3
york,doncaster,disabled,advance,4 days,4
birmingham new street,london st pancras,disabled,advance,14 days,15
birmingham new street,london st pancras,disabled,advance,6 days,15
birmingham new street,london st pancras,disabled,advance,1 days,15
london paddington,reading,no railcard,advance,14 days,13
london paddington,oxford,no railcard,advance,16 days,18
london paddington,reading,no railcard,advance,2 days,13
london st pancras,birmingham new street,no railcard,advance,15 days,54
london st pancras,birmingham new street,no railcard,advance,2 days,8
london paddington,oxford,no railcard,advance,10 days,18
london paddington,reading,no railcard,advance,1 days,13
london kings cross,york,no railcard,advance,16 days,35
london st pancras,birmingham new street,no railcard,advance,10 days,8
london paddington,oxford,no railcard,advance,14 days,18
london paddington,oxford,no railcard,advance,11 days,18
manchester piccadilly,liverpool lime street,adult,advance,1 days,2
london euston,birmingham new street,no railcard,advance,7 days,7
london euston,birmingham new street,no railcard,advance,7 days,7
york,doncaster,no railcard,advance,10 days,6
london euston,birmingham new street,no railcard,off-peak,0 days,10
reading,swindon,no railcard,advance,3 days,9
york,doncaster,disabled,advance,2 days,4
york,peterborough,no railcard,advance,1 days,34
london kings cross,york,no railcard,advance,1 days,35
london euston,birmingham new street,no railcard,advance,11 days,7
london euston,birmingham new street,no railcard,advance,16 days,7
london kings cross,york,no railcard,advance,1 days,35
manchester piccadilly,liverpool lime street,no railcard,advance,4 days,3
liverpool lime street,london euston,no railcard,advance,11 days,76
london euston,manchester piccadilly,disabled,advance,5 days,72
oxford,bristol temple meads,no railcard,off-peak,0 days,26
london st pancras,birmingham new street,no railcard,advance,10 days,8
oxford,bristol temple meads,no railcard,off-peak,0 days,26
liverpool lime street,london euston,no railcard,advance,16 days,76
liverpool lime street,london euston,no railcard,advance,3 days,76
london paddington,reading,no railcard,advance,1 days,27
london st pancras,birmingham new street,no railcard,advance,1 days,8
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
york,leeds,no railcard,advance,16 days,3
london euston,birmingham new street,no railcard,advance,1 days,7
london euston,birmingham new street,no railcard,advance,8 days,7
london kings cross,york,no railcard,off-peak,0 days,53
manchester piccadilly,liverpool lime street,adult,advance,11 days,2
london paddington,reading,no railcard,advance,1 days,13
london euston,birmingham new street,no railcard,advance,1 days,7
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
manchester piccadilly,liverpool lime street,no railcard,advance,7 days,3
london paddington,reading,no railcard,advance,14 days,13
london kings cross,york,no railcard,advance,1 days,35
london paddington,reading,no railcard,advance,1 days,13
manchester piccadilly,liverpool lime street,adult,advance,3 days,2
liverpool lime street,manchester piccadilly,no railcard,advance,12 days,3
birmingham new street,manchester piccadilly,adult,off-peak,0 days,11
manchester piccadilly,liverpool lime street,senior,advance,15 days,2
london kings cross,york,no railcard,advance,10 days,35
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,10
london euston,birmingham new street,adult,advance,1 days,4
reading,london paddington,no railcard,off-peak,0 days,19
birmingham new street,manchester piccadilly,adult,advance,1 days,7
liverpool lime street,manchester piccadilly,disabled,advance,11 days,2
london paddington,reading,no railcard,off-peak,0 days,19
manchester piccadilly,sheffield,adult,advance,12 days,2
london st pancras,birmingham new street,no railcard,advance,1 days,8
london st pancras,birmingham new street,no railcard,advance,11 days,8
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
york,edinburgh,adult,advance,6 days,16
london paddington,reading,no railcard,off-peak,0 days,19
london st pancras,birmingham new street,no railcard,advance,8 days,8
liverpool lime street,manchester piccadilly,adult,advance,1 days,2
manchester piccadilly,liverpool lime street,no railcard,advance,3 days,3
london st pancras,birmingham new street,no railcard,advance,1 days,8
london kings cross,york,senior,advance,1 days,23
birmingham new street,london st pancras,no railcard,advance,8 days,22
london paddington,reading,no railcard,off-peak,0 days,19
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london st pancras,birmingham new street,no railcard,advance,1 days,8
london st pancras,birmingham new street,no railcard,advance,7 days,8
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london euston,birmingham new street,disabled,off-peak,0 days,7
london paddington,reading,no railcard,off-peak,0 days,19
london euston,birmingham new street,no railcard,advance,1 days,7
london paddington,reading,disabled,advance,1 days,8
london paddington,reading,disabled,advance,10 days,8
london paddington,reading,disabled,advance,16 days,8
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
york,edinburgh,adult,advance,1 days,16
london euston,birmingham new street,adult,anytime,0 days,9
manchester piccadilly,liverpool lime street,no railcard,advance,11 days,3
london kings cross,york,no railcard,advance,1 days,35
london euston,birmingham new street,no railcard,advance,2 days,7
london euston,birmingham new street,adult,anytime,0 days,9
london euston,birmingham new street,disabled,anytime,0 days,9
london kings cross,york,adult,anytime,0 days,47
manchester piccadilly,liverpool lime street,adult,anytime,0 days,3
manchester piccadilly,liverpool lime street,senior,advance,1 days,6
london euston,birmingham new street,no railcard,anytime,0 days,13
london euston,birmingham new street,no railcard,advance,1 days,7
london euston,birmingham new street,no railcard,advance,1 days,7
manchester piccadilly,liverpool lime street,senior,advance,1 days,2
manchester piccadilly,liverpool lime street,adult,anytime,0 days,13
liverpool lime street,manchester piccadilly,no railcard,advance,12 days,3
liverpool lime street,leeds,adult,anytime,0 days,13
reading,london paddington,no railcard,advance,15 days,13
manchester piccadilly,liverpool lime street,senior,advance,9 days,2
manchester piccadilly,liverpool lime street,senior,advance,1 days,2
liverpool lime street,manchester piccadilly,no railcard,advance,12 days,3
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5
london kings cross,york,no railcard,anytime,0 days,70
london kings cross,york,no railcard,anytime,0 days,70
london paddington,reading,no railcard,advance,16 days,13
london paddington,liverpool lime street,adult,advance,8 days,43
london paddington,reading,no railcard,anytime,0 days,25
london euston,birmingham new street,no railcard,anytime,0 days,13
manchester piccadilly,liverpool lime street,senior,advance,1 days,2
london euston,birmingham new street,no railcard,advance,9 days,7
london euston,birmingham new street,no railcard,advance,4 days,7
london euston,birmingham new street,adult,anytime,0 days,9
manchester piccadilly,london euston,no railcard,advance,1 days,84
london euston,birmingham new street,adult,anytime,0 days,9
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5
york,edinburgh,no railcard,advance,16 days,24
london st pancras,birmingham new street,no railcard,anytime,0 days,16
manchester piccadilly,liverpool lime street,senior,advance,6 days,2
liverpool lime street,manchester piccadilly,senior,advance,11 days,2
london euston,birmingham new street,no railcard,anytime,0 days,13
london euston,birmingham new street,no railcard,advance,6 days,7
reading,liverpool lime street,no railcard,anytime,0 days,242
london paddington,reading,no railcard,advance,9 days,13
liverpool lime street,london euston,adult,anytime,0 days,101
reading,london paddington,no railcard,advance,4 days,13
london euston,manchester piccadilly,senior,anytime,0 days,95
london st pancras,birmingham new street,adult,anytime,0 days,11
london paddington,reading,no railcard,advance,1 days,13
liverpool lime street,london euston,adult,anytime,0 days,101
london st pancras,birmingham new street,adult,anytime,0 days,11
london st pancras,birmingham new street,no railcard,anytime,0 days,16
london st pancras,birmingham new street,no railcard,anytime,0 days,16
london euston,birmingham new street,disabled,advance,16 days,4
london st pancras,birmingham new street,no railcard,anytime,0 days,16
birmingham new street,tamworth,no railcard,anytime,0 days,10
london st pancras,birmingham new street,no railcard,anytime,0 days,16
london euston,birmingham new street,no railcard,advance,1 days,7
london st pancras,birmingham new street,adult,anytime,0 days,71
birmingham new street,coventry,no railcard,anytime,0 days,5
london euston,birmingham new street,adult,advance,4 days,4
london euston,birmingham new street,disabled,advance,1 days,4
london euston,birmingham new street,disabled,advance,1 days,4
london euston,birmingham new street,adult,advance,1 days,35
london kings cross,york,no railcard,advance,8 days,35
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london euston,birmingham new street,adult,advance,7 days,35
london euston,birmingham new street,disabled,advance,5 days,4
manchester piccadilly,liverpool lime street,senior,advance,8 days,2
london euston,birmingham new street,no railcard,advance,1 days,7
london kings cross,york,no railcard,advance,1 days,35
birmingham new street,manchester piccadilly,adult,advance,6 days,19
manchester piccadilly,liverpool lime street,adult,advance,15 days,2
liverpool lime street,london euston,adult,advance,1 days,50
london st pancras,leicester,senior,anytime,0 days,31
liverpool lime street,london euston,adult,advance,13 days,50
london st pancras,leicester,senior,anytime,0 days,31
london st pancras,birmingham new street,no railcard,advance,7 days,8
london kings cross,york,no railcard,advance,14 days,35
london kings cross,york,no railcard,off-peak,0 days,53
liverpool lime street,london euston,no railcard,advance,13 days,76
oxford,bristol temple meads,adult,off-peak,0 days,17
liverpool lime street,manchester piccadilly,senior,advance,15 days,2
liverpool lime street,manchester piccadilly,no railcard,advance,3 days,3
london euston,birmingham new street,no railcard,off-peak,0 days,10
london kings cross,york,no railcard,advance,3 days,35
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london st pancras,birmingham new street,no railcard,advance,2 days,8
london st pancras,leicester,senior,advance,1 days,16
london st pancras,birmingham new street,no railcard,advance,12 days,8
london st pancras,leicester,senior,advance,9 days,16
london st pancras,leicester,senior,advance,1 days,16
manchester piccadilly,liverpool lime street,senior,advance,5 days,2
london kings cross,york,senior,advance,9 days,23
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london kings cross,york,no railcard,advance,14 days,57
london st pancras,birmingham new street,no railcard,advance,11 days,8
london paddington,reading,no railcard,advance,1 days,13
london st pancras,birmingham new street,no railcard,advance,1 days,8
london st pancras,birmingham new street,no railcard,advance,1 days,8
birmingham new street,nuneaton,no railcard,advance,10 days,7
london paddington,reading,no railcard,advance,4 days,13
london paddington,reading,no railcard,advance,1 days,13
birmingham new street,tamworth,no railcard,advance,14 days,5
london kings cross,york,no railcard,advance,10 days,35
birmingham new street,tamworth,no railcard,advance,8 days,5
birmingham new street,london euston,no railcard,advance,3 days,21
birmingham new street,stafford,no railcard,advance,2 days,5
london st pancras,birmingham new street,no railcard,advance,13 days,8
london euston,manchester piccadilly,no railcard,advance,1 days,72
london st pancras,birmingham new street,no railcard,advance,2 days,8
birmingham new street,stafford,no railcard,advance,8 days,5
birmingham new street,stafford,no railcard,advance,9 days,5
birmingham new street,nuneaton,no railcard,advance,4 days,7
birmingham new street,stafford,no railcard,advance,13 days,5
liverpool lime street,leeds,adult,advance,1 days,7
london kings cross,york,no railcard,advance,2 days,35
london euston,manchester piccadilly,adult,off-peak,0 days,72
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
liverpool lime street,manchester piccadilly,adult,advance,10 days,2
london kings cross,york,no railcard,advance,16 days,35
london paddington,reading,no railcard,advance,15 days,13
london kings cross,liverpool lime street,adult,advance,17 days,70
london paddington,reading,adult,advance,7 days,18
london paddington,reading,adult,advance,10 days,8
birmingham new street,edinburgh,no railcard,advance,14 days,36
manchester piccadilly,liverpool lime street,no railcard,advance,2 days,3
london paddington,reading,no railcard,advance,6 days,13
london euston,birmingham new street,no railcard,advance,1 days,7
london euston,birmingham new street,no railcard,advance,4 days,7
london kings cross,york,no railcard,advance,4 days,35
liverpool lime street,manchester piccadilly,adult,advance,1 days,2
london euston,birmingham new street,no railcard,advance,3 days,7
london euston,birmingham new street,no railcard,advance,3 days,7
liverpool lime street,manchester piccadilly,disabled,advance,3 days,2
london euston,birmingham new street,no railcard,advance,1 days,7
london st pancras,birmingham new street,no railcard,advance,1 days,54
london paddington,reading,disabled,advance,1 days,18
london euston,manchester piccadilly,adult,advance,2 days,48
london kings cross,york,no railcard,advance,1 days,35
london euston,manchester piccadilly,adult,advance,7 days,48
london euston,oxford,adult,advance,4 days,2
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
liverpool lime street,manchester piccadilly,no railcard,advance,8 days,3
london kings cross,edinburgh waverley,disabled,advance,13 days,48
london paddington,reading,no railcard,advance,7 days,13
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
london euston,birmingham new street,no railcard,advance,4 days,7
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
york,durham,disabled,advance,2 days,5
london paddington,reading,no railcard,advance,12 days,13
london kings cross,york,disabled,off-peak,0 days,35
london paddington,reading,adult,off-peak,0 days,13
birmingham new street,london euston,no railcard,off-peak,0 days,31
york,durham,disabled,advance,1 days,5
liverpool lime street,manchester piccadilly,senior,advance,8 days,2
manchester piccadilly,liverpool lime street,adult,advance,4 days,2
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
birmingham new street,london st pancras,adult,advance,1 days,39
birmingham new street,london st pancras,adult,advance,14 days,15
london kings cross,york,no railcard,advance,8 days,35
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
london kings cross,york,no railcard,advance,14 days,35
liverpool lime street,manchester piccadilly,no railcard,advance,2 days,3
london kings cross,york,no railcard,advance,3 days,35
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,14
london paddington,reading,no railcard,advance,1 days,13
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
liverpool lime street,manchester piccadilly,disabled,advance,14 days,2
london paddington,reading,no railcard,off-peak,0 days,19
london kings cross,york,no railcard,off-peak,0 days,53
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
london st pancras,birmingham new street,no railcard,advance,6 days,8
london st pancras,birmingham new street,no railcard,advance,7 days,54
london kings cross,york,no railcard,off-peak,0 days,53
manchester piccadilly,nottingham,no railcard,advance,6 days,12
liverpool lime street,manchester piccadilly,senior,advance,9 days,2
london euston,birmingham new street,no railcard,advance,5 days,7
liverpool lime street,manchester piccadilly,senior,advance,1 days,2
london euston,birmingham new street,no railcard,advance,1 days,7
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
liverpool lime street,london euston,senior,off-peak,0 days,76
liverpool lime street,manchester piccadilly,no railcard,advance,14 days,3
london paddington,reading,disabled,advance,1 days,8
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3
birmingham new street,london st pancras,disabled,anytime,0 days,29
birmingham new street,london st pancras,disabled,anytime,0 days,29
manchester piccadilly,london euston,no railcard,advance,1 days,84
london euston,manchester piccadilly,no railcard,anytime,0 days,143
london euston,manchester piccadilly,no railcard,anytime,0 days,143
manchester piccadilly,london euston,no railcard,advance,10 days,134
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5
liverpool lime street,manchester piccadilly,no railcard,advance,10 days,3
london euston,birmingham new street,no railcard,advance,11 days,7
london kings cross,york,no railcard,advance,14 days,35
london euston,birmingham new street,adult,advance,1 days,4
london paddington,reading,senior,anytime,0 days,17
london euston,birmingham new street,adult,advance,1 days,35
liverpool lime street,manchester piccadilly,disabled,advance,10 days,2
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,6
liverpool lime street,manchester piccadilly,no railcard,advance,12 days,3
london st pancras,birmingham new street,no railcard,advance,1 days,8
london paddington,reading,no railcard,advance,4 days,13
liverpool lime street,manchester piccadilly,no railcard,advance,10 days,3
london euston,birmingham new street,no railcard,anytime,0 days,13
liverpool lime street,london euston,no railcard,anytime,0 days,151
liverpool lime street,london euston,no railcard,anytime,0 days,151
liverpool lime street,london euston,no railcard,anytime,0 days,151
london euston,manchester piccadilly,disabled,anytime,0 days,95
birmingham new street,liverpool lime street,no railcard,anytime,0 days,11
reading,oxford,no railcard,anytime,0 days,11
oxford,bristol temple meads,no railcard,anytime,0 days,34
london kings cross,liverpool lime street,adult,anytime,0 days,86
manchester piccadilly,liverpool lime street,no railcard,advance,12 days,3
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5
london paddington,reading,no railcard,anytime,0 days,25
manchester piccadilly,liverpool lime street,no railcard,advance,4 days,3
london paddington,oxford,no railcard,anytime,0 days,35
london paddington,reading,no railcard,anytime,0 days,25
london kings cross,york,no railcard,anytime,0 days,70
manchester piccadilly,liverpool lime street,no railcard,advance,3 days,3
manchester piccadilly,nottingham,adult,off-peak,0 days,12
oxford,bristol temple meads,adult,advance,15 days,11
london kings cross,york,no railcard,advance,1 days,35
manchester piccadilly,liverpool lime street,senior,advance,1 days,2
london paddington,reading,senior,advance,14 days,8
london paddington,reading,senior,advance,1 days,8
liverpool lime street,crewe,senior,advance,10 days,6
london paddington,reading,senior,advance,1 days,8
london paddington,reading,senior,advance,5 days,8
london paddington,reading,senior,advance,2 days,8
london paddington,reading,no railcard,off-peak,0 days,19
london kings cross,york,no railcard,advance,1 days,35
london st pancras,birmingham new street,no railcard,advance,1 days,8
reading,london paddington,no railcard,advance,1 days,13
london euston,birmingham new street,adult,advance,1 days,4
birmingham new street,nuneaton,no railcard,advance,1 days,7
london st pancras,birmingham new street,no railcard,advance,3 days,54
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,10
london euston,birmingham new street,adult,advance,11 days,4
london st pancras,wolverhampton,disabled,advance,2 days,21
birmingham new street,london st pancras,disabled,advance,8 days,15
london st pancras,birmingham new street,no railcard,advance,9 days,8
birmingham new street,london st pancras,disabled,advance,9 days,15
london euston,birmingham new street,adult,advance,4 days,4
london paddington,oxford,no railcard,advance,13 days,18
london paddington,oxford,no railcard,advance,7 days,18
london paddington,reading,no railcard,advance,11 days,13
london paddington,reading,no railcard,advance,2 days,13
manchester piccadilly,liverpool lime street,no railcard,advance,6 days,3
liverpool lime street,manchester piccadilly,no railcard,advance,14 days,3
london st pancras,birmingham new street,no railcard,advance,8 days,8
london paddington,oxford,no railcard,advance,6 days,18
london kings cross,york,no railcard,advance,7 days,35
london paddington,reading,no railcard,advance,4 days,13
london euston,birmingham new street,no railcard,advance,2 days,7
london kings cross,york,no railcard,advance,12 days,35
london kings cross,york,no railcard,advance,1 days,35
reading,swindon,no railcard,advance,14 days,9
york,peterborough,no railcard,advance,4 days,34
london euston,birmingham new street,no railcard,advance,10 days,7
london kings cross,york,no railcard,advance,14 days,35
york,doncaster,disabled,advance,5 days,4
london paddington,reading,no railcard,advance,8 days,13
liverpool lime street,manchester piccadilly,no railcard,advance,8 days,3
london kings cross,york,no railcard,advance,1 days,35
manchester piccadilly,london paddington,no railcard,advance,8 days,86
birmingham new street,london st pancras,no railcard,advance,14 days,22
liverpool lime street,london euston,no railcard,advance,4 days,118
liverpool lime street,london euston,no railcard,advance,1 days,76
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
liverpool lime street,london euston,no railcard,advance,3 days,76
manchester piccadilly,london euston,no railcard,advance,11 days,84
reading,oxford,no railcard,advance,9 days,6
liverpool lime street,london euston,no railcard,advance,8 days,76
london euston,manchester piccadilly,no railcard,advance,11 days,72
manchester piccadilly,sheffield,no railcard,advance,8 days,4
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2
manchester piccadilly,leeds,no railcard,advance,3 days,10
liverpool lime street,london st pancras,no railcard,advance,9 days,77
london euston,birmingham new street,no railcard,advance,1 days,7
london kings cross,york,no railcard,advance,2 days,35
london paddington,reading,no railcard,advance,15 days,13
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
manchester piccadilly,nottingham,adult,advance,2 days,8
manchester piccadilly,liverpool lime street,disabled,off-peak,0 days,3
birmingham new street,manchester piccadilly,adult,off-peak,0 days,11
manchester piccadilly,liverpool lime street,adult,advance,1 days,2
london paddington,reading,no railcard,off-peak,0 days,19
london euston,manchester piccadilly,no railcard,off-peak,0 days,162
london kings cross,york,no railcard,advance,1 days,35
london euston,birmingham new street,no railcard,off-peak,0 days,10
london paddington,reading,no railcard,advance,11 days,13
london euston,birmingham new street,adult,advance,10 days,4
birmingham new street,manchester piccadilly,adult,advance,1 days,7
liverpool lime street,manchester piccadilly,adult,advance,11 days,2
manchester piccadilly,sheffield,no railcard,advance,5 days,4
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,10
london kings cross,york,no railcard,advance,2 days,35
london st pancras,birmingham new street,no railcard,advance,1 days,8
manchester piccadilly,liverpool lime street,adult,off-peak,0 days,3
liverpool lime street,manchester piccadilly,adult,advance,10 days,2
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london paddington,reading,no railcard,off-peak,0 days,19
london st pancras,birmingham new street,adult,advance,15 days,5
london paddington,reading,no railcard,off-peak,0 days,19
london kings cross,york,no railcard,off-peak,0 days,53
london kings cross,york,no railcard,advance,1 days,35
london st pancras,birmingham new street,no railcard,advance,3 days,8
manchester piccadilly,liverpool lime street,no railcard,advance,7 days,3
london st pancras,birmingham new street,no railcard,advance,2 days,8
london st pancras,birmingham new street,no railcard,advance,3 days,8
manchester piccadilly,liverpool lime street,no railcard,advance,4 days,3
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london st pancras,birmingham new street,no railcard,advance,11 days,8
london paddington,reading,no railcard,advance,6 days,13
york,edinburgh,adult,advance,1 days,16
london paddington,reading,disabled,advance,11 days,8
london euston,birmingham new street,adult,anytime,0 days,9
london euston,birmingham new street,adult,anytime,0 days,9
manchester piccadilly,liverpool lime street,adult,anytime,0 days,3
london euston,birmingham new street,no railcard,advance,8 days,7
manchester piccadilly,liverpool lime street,senior,advance,12 days,2
london st pancras,leicester,adult,anytime,0 days,31
manchester piccadilly,liverpool lime street,adult,anytime,0 days,3
manchester piccadilly,liverpool lime street,adult,anytime,0 days,3
london st pancras,birmingham new street,senior,advance,1 days,5
liverpool lime street,sheffield,no railcard,advance,6 days,9
london paddington,reading,no railcard,anytime,0 days,25
london st pancras,birmingham new street,no railcard,advance,14 days,8
london kings cross,york,no railcard,anytime,0 days,70
liverpool lime street,manchester piccadilly,no railcard,advance,2 days,3
liverpool lime street,london euston,no railcard,anytime,0 days,235
london paddington,reading,no railcard,advance,12 days,13
london paddington,reading,no railcard,advance,9 days,13
liverpool lime street,london euston,no railcard,anytime,0 days,151
reading,london paddington,no railcard,anytime,0 days,25
manchester piccadilly,liverpool lime street,senior,advance,11 days,2
london paddington,reading,disabled,anytime,0 days,17
liverpool lime street,manchester piccadilly,senior,anytime,0 days,4
london paddington,reading,disabled,advance,10 days,8
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,19
birmingham new street,reading,no railcard,advance,15 days,33
london st pancras,birmingham new street,no railcard,anytime,0 days,16
manchester piccadilly,liverpool lime street,senior,advance,14 days,2
london kings cross,york,no railcard,advance,1 days,35
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5
london paddington,reading,no railcard,advance,4 days,13
london euston,birmingham new street,no railcard,advance,1 days,7
london paddington,reading,no railcard,advance,6 days,13
london paddington,reading,no railcard,advance,8 days,13
liverpool lime street,manchester piccadilly,adult,anytime,0 days,13
reading,didcot,senior,anytime,0 days,5
london euston,birmingham new street,disabled,advance,1 days,35
london euston,birmingham new street,no railcard,advance,1 days,52
london st pancras,birmingham new street,no railcard,anytime,0 days,16
birmingham new street,nuneaton,no railcard,anytime,0 days,28
london st pancras,wolverhampton,disabled,anytime,0 days,43
london euston,birmingham new street,disabled,advance,10 days,4
birmingham new street,wolverhampton,no railcard,anytime,0 days,2
london euston,manchester piccadilly,no railcard,anytime,0 days,143
london paddington,reading,no railcard,advance,6 days,13
london euston,birmingham new street,disabled,advance,7 days,4
london euston,birmingham new street,no railcard,advance,12 days,7
london euston,birmingham new street,adult,advance,5 days,4
london euston,birmingham new street,adult,advance,4 days,35
london paddington,reading,adult,advance,8 days,8
london euston,birmingham new street,adult,advance,1 days,4
london euston,birmingham new street,adult,advance,4 days,4
london euston,birmingham new street,adult,advance,1 days,4
london euston,birmingham new street,adult,advance,14 days,4
liverpool lime street,manchester piccadilly,no railcard,advance,10 days,3
london euston,birmingham new street,disabled,advance,1 days,4
birmingham new street,manchester piccadilly,adult,advance,3 days,7
manchester piccadilly,liverpool lime street,adult,advance,14 days,2
london paddington,reading,adult,advance,7 days,8
birmingham new street,manchester piccadilly,adult,advance,8 days,7
manchester piccadilly,liverpool lime street,adult,advance,4 days,2
london euston,birmingham new street,no railcard,advance,12 days,7
birmingham new street,manchester piccadilly,adult,advance,14 days,7
london kings cross,york,no railcard,advance,7 days,35
liverpool lime street,london euston,adult,advance,7 days,50
manchester piccadilly,liverpool lime street,senior,anytime,0 days,13
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london kings cross,york,no railcard,advance,11 days,35
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
london paddington,reading,no railcard,advance,1 days,27
london euston,birmingham new street,no railcard,advance,1 days,7
london euston,manchester piccadilly,disabled,advance,1 days,48
london euston,birmingham new street,senior,advance,7 days,4
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
london euston,birmingham new street,no railcard,advance,5 days,7
london paddington,reading,disabled,advance,1 days,8
london kings cross,york,no railcard,advance,11 days,35
london st pancras,birmingham new street,no railcard,advance,1 days,8
liverpool lime street,manchester piccadilly,adult,advance,4 days,2
london st pancras,leicester,senior,advance,1 days,16
london euston,birmingham new street,no railcard,advance,7 days,7
london euston,birmingham new street,no railcard,off-peak,0 days,10
manchester piccadilly,liverpool lime street,senior,advance,9 days,2
london st pancras,leicester,senior,advance,15 days,16
manchester piccadilly,liverpool lime street,senior,advance,5 days,2
london st pancras,leicester,senior,advance,4 days,16
manchester piccadilly,liverpool lime street,no railcard,advance,5 days,3
london euston,birmingham new street,adult,advance,13 days,35
london euston,birmingham new street,adult,advance,4 days,4
birmingham new street,tamworth,no railcard,advance,1 days,5
london st pancras,birmingham new street,no railcard,advance,7 days,8
manchester piccadilly,liverpool lime street,no railcard,advance,12 days,3
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
manchester piccadilly,liverpool lime street,no railcard,advance,12 days,3
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london kings cross,york,no railcard,off-peak,0 days,86
manchester piccadilly,leeds,adult,off-peak,0 days,10
liverpool lime street,manchester piccadilly,adult,advance,4 days,2
london euston,birmingham new street,adult,advance,8 days,4
london euston,birmingham new street,no railcard,off-peak,0 days,10
london st pancras,birmingham new street,no railcard,advance,13 days,8
london paddington,reading,no railcard,advance,11 days,13
birmingham new street,nuneaton,no railcard,advance,13 days,7
london st pancras,birmingham new street,no railcard,advance,7 days,8
london st pancras,birmingham new street,no railcard,advance,1 days,8
london euston,manchester piccadilly,senior,advance,1 days,48
london st pancras,birmingham new street,no railcard,advance,14 days,8
birmingham new street,nuneaton,no railcard,advance,1 days,7
london paddington,reading,no railcard,advance,7 days,27
london st pancras,birmingham new street,no railcard,advance,1 days,54
london st pancras,birmingham new street,no railcard,advance,13 days,8
london st pancras,birmingham new street,no railcard,advance,1 days,8
london st pancras,birmingham new street,no railcard,advance,3 days,8
london st pancras,birmingham new street,no railcard,advance,6 days,8
birmingham new street,wolverhampton,no railcard,advance,8 days,1
