Departure Station,Arrival Destination,Railcard,Ticket Type,Lead Time,Price,Ticket Class
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,10,first class
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
reading,london paddington,no railcard,off-peak,0 days,19,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london euston,birmingham new street,disabled,off-peak,0 days,7,standard
london euston,birmingham new street,disabled,off-peak,0 days,7,standard
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london euston,birmingham new street,adult,anytime,0 days,9,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,adult,anytime,0 days,3,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london st pancras,birmingham new street,adult,advance,1 days,5,standard
london st pancras,birmingham new street,adult,advance,1 days,5,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
manchester piccadilly,london kings cross,adult,anytime,0 days,114,standard
london paddington,reading,no railcard,anytime,0 days,25,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
birmingham new street,stafford,no railcard,anytime,0 days,10,standard
liverpool lime street,sheffield,no railcard,advance,1 days,9,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
liverpool lime street,manchester piccadilly,senior,anytime,0 days,4,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,6,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,19,first class
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london euston,birmingham new street,adult,anytime,0 days,9,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london paddington,reading,no railcard,anytime,0 days,54,first class
london euston,manchester piccadilly,disabled,anytime,0 days,95,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london euston,birmingham new street,disabled,advance,1 days,35,first class
manchester piccadilly,london euston,adult,anytime,0 days,112,standard
birmingham new street,york,adult,anytime,0 days,26,standard
liverpool lime street,london euston,adult,anytime,0 days,101,standard
liverpool lime street,manchester piccadilly,adult,anytime,0 days,4,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london paddington,reading,senior,anytime,0 days,17,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
liverpool lime street,crewe,senior,anytime,0 days,11,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
london paddington,reading,adult,advance,1 days,8,standard
london kings cross,york,adult,advance,1 days,23,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
london kings cross,york,no railcard,advance,1 days,57,first class
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
liverpool lime street,london euston,adult,advance,1 days,50,standard
london st pancras,leicester,senior,anytime,0 days,31,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london kings cross,york,no railcard,advance,1 days,35,standard
birmingham new street,london euston,no railcard,advance,1 days,21,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london euston,manchester piccadilly,disabled,advance,1 days,48,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,advance,1 days,57,first class
birmingham new street,nuneaton,no railcard,advance,1 days,7,standard
london st pancras,birmingham new street,adult,advance,1 days,36,first class
birmingham new street,nuneaton,no railcard,advance,1 days,7,standard
birmingham new street,tamworth,no railcard,advance,1 days,5,standard
birmingham new street,stafford,no railcard,advance,1 days,5,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
birmingham new street,edinburgh,no railcard,advance,1 days,36,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,6,first class
london st pancras,birmingham new street,no railcard,advance,1 days,54,first class
london euston,birmingham new street,no railcard,advance,1 days,7,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
manchester piccadilly,leeds,adult,advance,1 days,6,standard
london euston,manchester piccadilly,adult,advance,1 days,48,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,london euston,adult,advance,1 days,56,standard
york,durham,no railcard,off-peak,0 days,11,standard
oxford,bristol temple meads,no railcard,off-peak,0 days,26,standard
manchester piccadilly,nottingham,no railcard,off-peak,0 days,17,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
manchester piccadilly,london paddington,no railcard,off-peak,0 days,128,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
reading,london paddington,no railcard,off-peak,0 days,19,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,london paddington,no railcard,off-peak,0 days,128,standard
york,durham,disabled,advance,1 days,5,standard
london paddington,reading,adult,advance,1 days,18,first class
york,durham,senior,advance,1 days,5,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
london paddington,reading,disabled,off-peak,0 days,13,standard
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,3,standard
liverpool lime street,manchester piccadilly,disabled,advance,1 days,7,first class
london paddington,reading,no railcard,off-peak,0 days,19,standard
birmingham new street,london st pancras,no railcard,off-peak,0 days,33,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
york,durham,no railcard,advance,1 days,8,standard
oxford,bristol temple meads,no railcard,advance,1 days,17,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,disabled,off-peak,0 days,3,standard
manchester piccadilly,nottingham,no railcard,advance,1 days,12,standard
london paddington,liverpool lime street,adult,off-peak,0 days,65,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3,standard
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london paddington,reading,senior,anytime,0 days,17,standard
london paddington,reading,senior,anytime,0 days,17,standard
birmingham new street,london st pancras,disabled,anytime,0 days,78,first class
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
birmingham new street,london st pancras,disabled,anytime,0 days,29,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,6,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,6,standard
manchester piccadilly,sheffield,no railcard,advance,1 days,4,standard
london kings cross,york,no railcard,advance,1 days,57,first class
london paddington,reading,no railcard,anytime,0 days,25,standard
oxford,bristol temple meads,adult,anytime,0 days,23,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
manchester piccadilly,london paddington,no railcard,advance,1 days,86,standard
york,peterborough,disabled,anytime,0 days,45,standard
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,6,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
york,doncaster,no railcard,anytime,0 days,11,standard
york,peterborough,no railcard,anytime,0 days,67,standard
manchester piccadilly,sheffield,adult,advance,1 days,2,standard
liverpool lime street,london euston,adult,advance,1 days,50,standard
liverpool lime street,london euston,no railcard,anytime,0 days,235,first class
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
london kings cross,york,no railcard,advance,1 days,35,standard
reading,oxford,no railcard,anytime,0 days,11,standard
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
liverpool lime street,london st pancras,no railcard,anytime,0 days,154,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london paddington,oxford,no railcard,anytime,0 days,35,standard
london paddington,reading,no railcard,anytime,0 days,54,first class
london paddington,reading,no railcard,anytime,0 days,25,standard
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,adult,anytime,0 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london kings cross,edinburgh waverley,disabled,anytime,0 days,48,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london kings cross,edinburgh waverley,disabled,anytime,0 days,48,standard
london paddington,reading,disabled,off-peak,0 days,27,first class
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london euston,manchester piccadilly,no railcard,advance,1 days,108,first class
york,doncaster,disabled,advance,1 days,4,standard
reading,london paddington,no railcard,advance,1 days,13,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london paddington,reading,disabled,advance,1 days,8,standard
london euston,manchester piccadilly,no railcard,advance,1 days,72,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london paddington,reading,no railcard,advance,1 days,13,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london paddington,oxford,no railcard,advance,1 days,18,standard
london paddington,oxford,no railcard,advance,1 days,18,standard
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london paddington,oxford,no railcard,advance,1 days,18,standard
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,10,first class
london paddington,london waterloo,no railcard,advance,1 days,3,standard
bristol temple meads,cardiff central,no railcard,advance,1 days,5,standard
reading,swindon,no railcard,advance,1 days,9,standard
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,10,first class
london st pancras,birmingham new street,adult,off-peak,0 days,8,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
london paddington,liverpool lime street,adult,off-peak,0 days,65,standard
liverpool lime street,london euston,no railcard,advance,1 days,118,first class
london paddington,reading,no railcard,advance,1 days,13,standard
york,edinburgh,no railcard,off-peak,0 days,35,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
london kings cross,york,no railcard,off-peak,0 days,86,first class
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,15,first class
london kings cross,york,no railcard,off-peak,0 days,53,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
manchester piccadilly,london euston,no railcard,advance,1 days,84,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
birmingham new street,manchester piccadilly,adult,off-peak,0 days,29,first class
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,10,first class
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london paddington,reading,disabled,off-peak,0 days,27,first class
london paddington,reading,no railcard,off-peak,0 days,19,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3,standard
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3,standard
birmingham new street,manchester piccadilly,adult,advance,1 days,7,standard
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3,standard
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,adult,advance,1 days,5,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london st pancras,birmingham new street,no railcard,advance,1 days,54,first class
london kings cross,york,no railcard,off-peak,0 days,53,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london paddington,reading,no railcard,off-peak,0 days,41,first class
london euston,birmingham new street,disabled,off-peak,0 days,7,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
york,peterborough,no railcard,anytime,0 days,93,first class
london st pancras,birmingham new street,disabled,anytime,0 days,11,standard
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3,standard
london euston,birmingham new street,adult,anytime,0 days,9,standard
manchester piccadilly,liverpool lime street,adult,anytime,0 days,3,standard
london st pancras,birmingham new street,adult,advance,1 days,5,standard
manchester piccadilly,liverpool lime street,adult,anytime,0 days,3,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
london paddington,reading,adult,anytime,0 days,17,standard
manchester piccadilly,liverpool lime street,adult,anytime,0 days,3,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
birmingham new street,liverpool lime street,adult,anytime,0 days,7,standard
liverpool lime street,sheffield,adult,anytime,0 days,11,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london paddington,reading,no railcard,anytime,0 days,25,standard
london paddington,reading,adult,anytime,0 days,17,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
birmingham new street,stafford,no railcard,anytime,0 days,10,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
birmingham new street,stafford,no railcard,anytime,0 days,10,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,6,first class
london euston,birmingham new street,senior,anytime,0 days,9,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,107,first class
london kings cross,york,no railcard,anytime,0 days,70,standard
london kings cross,york,no railcard,anytime,0 days,114,first class
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london euston,birmingham new street,adult,anytime,0 days,9,standard
liverpool lime street,london euston,adult,anytime,0 days,101,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london euston,birmingham new street,adult,anytime,0 days,9,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
reading,london paddington,no railcard,advance,1 days,13,standard
reading,london paddington,no railcard,advance,1 days,13,standard
reading,london paddington,no railcard,advance,1 days,13,standard
birmingham new street,york,adult,anytime,0 days,26,standard
london st pancras,birmingham new street,adult,anytime,0 days,11,standard
london paddington,reading,no railcard,advance,1 days,13,standard
birmingham new street,wolverhampton,no railcard,anytime,0 days,2,standard
liverpool lime street,crewe,senior,anytime,0 days,11,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,19,first class
london euston,birmingham new street,disabled,advance,1 days,4,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london paddington,reading,no railcard,anytime,0 days,25,standard
liverpool lime street,crewe,senior,anytime,0 days,11,first class
liverpool lime street,crewe,senior,anytime,0 days,11,standard
london euston,birmingham new street,disabled,advance,1 days,35,first class
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london paddington,reading,adult,advance,1 days,8,standard
birmingham new street,manchester piccadilly,adult,advance,1 days,7,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london st pancras,leicester,senior,anytime,0 days,31,standard
manchester piccadilly,london euston,adult,advance,1 days,56,standard
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3,standard
london st pancras,leicester,senior,anytime,0 days,31,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london euston,manchester piccadilly,disabled,advance,1 days,48,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london kings cross,york,adult,advance,1 days,23,standard
london euston,manchester piccadilly,no railcard,off-peak,0 days,107,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
london st pancras,leicester,senior,advance,1 days,16,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
london st pancras,leicester,senior,advance,1 days,16,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
london paddington,reading,adult,advance,1 days,8,standard
london paddington,reading,adult,advance,1 days,8,standard
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
birmingham new street,liverpool lime street,no railcard,off-peak,0 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,york,no railcard,advance,1 days,57,first class
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,york,no railcard,advance,1 days,57,first class
birmingham new street,stafford,no railcard,advance,1 days,7,first class
london kings cross,york,no railcard,off-peak,0 days,53,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london paddington,reading,adult,advance,1 days,8,standard
london paddington,reading,adult,advance,1 days,8,standard
oxford,bristol temple meads,adult,advance,1 days,11,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,advance,1 days,35,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london paddington,reading,no railcard,advance,1 days,27,first class
london kings cross,york,no railcard,advance,1 days,35,standard
york,edinburgh,adult,advance,1 days,16,standard
london euston,manchester piccadilly,no railcard,advance,1 days,72,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,liverpool lime street,no railcard,off-peak,0 days,97,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london paddington,reading,adult,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
london kings cross,york,no railcard,off-peak,0 days,86,first class
manchester piccadilly,london euston,no railcard,off-peak,0 days,126,standard
london euston,manchester piccadilly,adult,advance,1 days,48,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,10,first class
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london euston,birmingham new street,adult,off-peak,0 days,7,standard
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london kings cross,york,disabled,advance,1 days,38,first class
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london kings cross,york,no railcard,advance,1 days,35,standard
oxford,bristol temple meads,adult,off-peak,0 days,17,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
york,peterborough,disabled,off-peak,0 days,47,first class
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,2,standard
london paddington,reading,senior,off-peak,0 days,13,standard
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,2,standard
birmingham new street,london st pancras,disabled,off-peak,0 days,22,standard
london euston,birmingham new street,adult,off-peak,0 days,7,standard
birmingham new street,stafford,no railcard,off-peak,0 days,8,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
york,doncaster,disabled,off-peak,0 days,5,standard
york,birmingham new street,no railcard,advance,1 days,39,standard
manchester piccadilly,liverpool lime street,adult,off-peak,0 days,2,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
birmingham new street,london st pancras,no railcard,advance,1 days,22,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
liverpool lime street,crewe,senior,off-peak,0 days,8,first class
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
reading,swindon,no railcard,off-peak,0 days,14,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
liverpool lime street,crewe,senior,off-peak,0 days,8,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,york,no railcard,advance,1 days,35,standard
liverpool lime street,london euston,no railcard,off-peak,0 days,113,standard
liverpool lime street,london euston,no railcard,off-peak,0 days,176,first class
liverpool lime street,london euston,no railcard,off-peak,0 days,113,standard
liverpool lime street,london euston,no railcard,off-peak,0 days,113,standard
london kings cross,york,no railcard,advance,1 days,35,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london euston,birmingham new street,no railcard,advance,1 days,52,first class
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,oxford,no railcard,off-peak,0 days,26,standard
london paddington,oxford,no railcard,off-peak,0 days,26,standard
london paddington,reading,no railcard,off-peak,0 days,41,first class
london kings cross,edinburgh waverley,disabled,off-peak,0 days,36,standard
manchester piccadilly,liverpool lime street,adult,off-peak,0 days,10,first class
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
london kings cross,york,no railcard,advance,1 days,57,first class
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
birmingham new street,london st pancras,disabled,advance,1 days,39,first class
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london euston,manchester piccadilly,no railcard,advance,1 days,72,standard
birmingham new street,london st pancras,disabled,advance,1 days,15,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
birmingham new street,london st pancras,disabled,advance,1 days,15,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london paddington,oxford,no railcard,advance,1 days,18,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london kings cross,york,no railcard,advance,1 days,35,standard
