Ticket Type,Ticket Class,Departure Station,Arrival Destination,Railcard,Lead Time,Price
advance,standard,london kings cross,york,no railcard,8 days,35
advance,standard,manchester piccadilly,liverpool lime street,senior,8 days,2
advance,standard,birmingham new street,london paddington,senior,7 days,13
advance,standard,birmingham new street,london st pancras,disabled,4 days,15
advance,standard,birmingham new street,london kings cross,disabled,9 days,15
advance,standard,london euston,manchester piccadilly,no railcard,3 days,72
advance,standard,london kings cross,york,no railcard,2 days,35
advance,standard,london paddington,reading,no railcard,9 days,13
advance,standard,london paddington,reading,no railcard,4 days,13
advance,standard,london paddington,oxford,no railcard,1 days,18
advance,standard,london paddington,oxford,no railcard,6 days,18
advance,standard,london paddington,reading,no railcard,6 days,13
advance,standard,london st pancras,birmingham new street,no railcard,1 days,8
advance,standard,york,peterborough,no railcard,6 days,34
advance,standard,london kings cross,york,no railcard,7 days,35
off-peak,standard,manchester piccadilly,sheffield,adult,0 days,4
advance,standard,oxford,bristol temple meads,no railcard,9 days,17
advance,standard,liverpool lime street,london euston,no railcard,1 days,76
advance,standard,reading,birmingham new street,no railcard,6 days,33
advance,standard,manchester piccadilly,london euston,no railcard,7 days,84
advance,standard,oxford,bristol temple meads,no railcard,3 days,17
advance,standard,london euston,manchester piccadilly,no railcard,8 days,72
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
advance,standard,london paddington,reading,no railcard,1 days,13
advance,first class,manchester piccadilly,leeds,adult,8 days,10
advance,standard,london st pancras,birmingham new street,no railcard,5 days,8
off-peak,standard,london kings cross,york,no railcard,0 days,53
advance,standard,manchester piccadilly,liverpool lime street,senior,10 days,2
advance,standard,manchester piccadilly,liverpool lime street,no railcard,10 days,3
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
off-peak,standard,london paddington,reading,disabled,0 days,13
advance,first class,london paddington,reading,no railcard,1 days,27
advance,standard,birmingham new street,manchester piccadilly,adult,9 days,7
advance,first class,london kings cross,york,no railcard,1 days,57
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days,2
advance,first class,london euston,birmingham new street,no railcard,8 days,52
off-peak,standard,manchester piccadilly,liverpool lime street,senior,0 days,3
advance,standard,manchester piccadilly,sheffield,adult,1 days,2
advance,standard,manchester piccadilly,liverpool lime street,no railcard,5 days,3
advance,standard,london kings cross,york,no railcard,6 days,35
advance,first class,manchester piccadilly,liverpool lime street,no railcard,1 days,10
advance,standard,london st pancras,birmingham new street,adult,2 days,5
advance,standard,london kings cross,york,no railcard,4 days,35
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days,12
advance,standard,manchester piccadilly,london st pancras,no railcard,6 days,86
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days,12
anytime,standard,london euston,birmingham new street,adult,0 days,9
anytime,standard,london euston,birmingham new street,disabled,0 days,9
advance,first class,london kings cross,york,no railcard,2 days,57
anytime,standard,manchester piccadilly,liverpool lime street,senior,0 days,3
anytime,standard,london euston,birmingham new street,disabled,0 days,9
advance,standard,manchester piccadilly,liverpool lime street,no railcard,4 days,3
anytime,standard,london euston,birmingham new street,adult,0 days,9
anytime,standard,london euston,birmingham new street,adult,0 days,9
anytime,standard,manchester piccadilly,liverpool lime street,adult,0 days,3
advance,standard,london euston,birmingham new street,no railcard,3 days,7
anytime,standard,manchester piccadilly,liverpool lime street,adult,0 days,3
advance,standard,london st pancras,birmingham new street,senior,1 days,5
advance,standard,manchester piccadilly,liverpool lime street,senior,7 days,2
anytime,standard,london euston,birmingham new street,no railcard,0 days,13
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days,2
advance,standard,manchester piccadilly,liverpool lime street,senior,7 days,2
advance,standard,manchester piccadilly,liverpool lime street,senior,6 days,2
advance,standard,manchester piccadilly,london paddington,no railcard,1 days,86
advance,standard,london st pancras,birmingham new street,adult,10 days,5
anytime,standard,birmingham new street,london st pancras,disabled,0 days,29
advance,standard,london st pancras,birmingham new street,no railcard,6 days,8
anytime,standard,london euston,birmingham new street,adult,0 days,9
anytime,standard,london euston,birmingham new street,no railcard,0 days,13
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days,2
advance,standard,manchester piccadilly,liverpool lime street,adult,7 days,2
advance,standard,london st pancras,birmingham new street,adult,6 days,5
advance,standard,london euston,birmingham new street,disabled,1 days,4
anytime,standard,birmingham new street,nuneaton,no railcard,0 days,13
anytime,first class,london st pancras,birmingham new street,adult,0 days,71
anytime,standard,london st pancras,wolverhampton,disabled,0 days,43
anytime,standard,birmingham new street,tamworth,no railcard,0 days,10
anytime,standard,london st pancras,birmingham new street,no railcard,0 days,16
advance,standard,london euston,birmingham new street,adult,2 days,4
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days,12
advance,first class,london euston,birmingham new street,adult,8 days,35
advance,standard,london euston,birmingham new street,adult,1 days,4
advance,first class,birmingham new street,manchester piccadilly,adult,1 days,19
advance,standard,london euston,birmingham new street,no railcard,1 days,7
advance,standard,birmingham new street,manchester piccadilly,adult,1 days,7
advance,standard,birmingham new street,manchester piccadilly,adult,1 days,7
advance,standard,manchester piccadilly,liverpool lime street,adult,10 days,2
advance,standard,london euston,birmingham new street,no railcard,2 days,7
advance,standard,manchester piccadilly,london euston,adult,1 days,56
anytime,standard,london st pancras,leicester,senior,0 days,31
advance,standard,manchester piccadilly,liverpool lime street,no railcard,7 days,3
advance,standard,london euston,birmingham new street,no railcard,4 days,7
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
advance,first class,london kings cross,york,no railcard,3 days,57
advance,standard,london kings cross,york,no railcard,2 days,35
advance,standard,london kings cross,york,no railcard,3 days,35
off-peak,standard,london euston,manchester piccadilly,no railcard,0 days,107
advance,standard,london st pancras,birmingham new street,no railcard,4 days,8
off-peak,standard,london euston,birmingham new street,no railcard,0 days,10
advance,standard,london st pancras,birmingham new street,no railcard,3 days,8
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,london euston,birmingham new street,adult,1 days,4
advance,standard,london euston,birmingham new street,adult,6 days,4
advance,standard,london euston,birmingham new street,adult,5 days,4
advance,standard,london st pancras,birmingham new street,no railcard,8 days,8
advance,standard,birmingham new street,york,adult,3 days,13
advance,standard,birmingham new street,liverpool lime street,adult,5 days,4
advance,standard,liverpool lime street,crewe,senior,9 days,6
advance,standard,manchester piccadilly,liverpool lime street,no railcard,3 days,3
advance,standard,london paddington,reading,no railcard,4 days,13
advance,standard,london kings cross,york,no railcard,8 days,35
advance,standard,birmingham new street,nuneaton,no railcard,1 days,7
advance,standard,london kings cross,york,no railcard,6 days,35
advance,standard,london st pancras,birmingham new street,no railcard,4 days,8
advance,standard,london st pancras,birmingham new street,no railcard,7 days,8
advance,standard,birmingham new street,tamworth,no railcard,6 days,5
advance,first class,london st pancras,birmingham new street,no railcard,1 days,54
advance,standard,birmingham new street,stafford,no railcard,4 days,5
advance,standard,london euston,birmingham new street,no railcard,9 days,7
off-peak,standard,liverpool lime street,manchester piccadilly,disabled,0 days,3
advance,standard,london st pancras,birmingham new street,no railcard,9 days,8
advance,standard,london kings cross,york,no railcard,4 days,35
advance,standard,london euston,birmingham new street,no railcard,6 days,7
advance,standard,manchester piccadilly,sheffield,no railcard,1 days,4
advance,standard,manchester piccadilly,london euston,adult,1 days,56
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
advance,standard,manchester piccadilly,london euston,adult,9 days,56
advance,standard,london euston,manchester piccadilly,adult,10 days,48
advance,standard,london euston,oxford,adult,6 days,2
advance,standard,manchester piccadilly,liverpool lime street,no railcard,7 days,3
advance,standard,liverpool lime street,manchester piccadilly,disabled,7 days,2
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days,2
off-peak,standard,london kings cross,york,no railcard,0 days,53
advance,standard,london kings cross,york,no railcard,5 days,35
advance,standard,london st pancras,birmingham new street,no railcard,7 days,8
advance,standard,liverpool lime street,manchester piccadilly,senior,1 days,2
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,liverpool lime street,manchester piccadilly,no railcard,2 days,3
anytime,standard,manchester piccadilly,liverpool lime street,senior,0 days,3
anytime,standard,manchester piccadilly,liverpool lime street,senior,0 days,3
anytime,standard,london paddington,reading,senior,0 days,17
anytime,standard,london kings cross,york,no railcard,0 days,70
anytime,standard,birmingham new street,london paddington,senior,0 days,25
advance,standard,york,durham,no railcard,8 days,8
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days,2
anytime,standard,birmingham new street,london st pancras,disabled,0 days,29
anytime,standard,london st pancras,birmingham new street,no railcard,0 days,16
advance,standard,london euston,birmingham new street,no railcard,1 days,7
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,liverpool lime street,manchester piccadilly,no railcard,8 days,3
advance,standard,london paddington,reading,no railcard,11 days,13
advance,standard,london st pancras,birmingham new street,no railcard,2 days,8
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
anytime,standard,manchester piccadilly,london euston,no railcard,0 days,168
anytime,standard,liverpool lime street,london euston,no railcard,0 days,151
anytime,standard,manchester piccadilly,london euston,no railcard,0 days,168
anytime,standard,reading,birmingham new street,no railcard,0 days,66
advance,first class,london kings cross,york,no railcard,8 days,57
anytime,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,5
anytime,standard,london kings cross,york,no railcard,0 days,70
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
anytime,standard,london paddington,oxford,no railcard,0 days,35
anytime,standard,london paddington,oxford,no railcard,0 days,35
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days,2
anytime,standard,london paddington,oxford,no railcard,0 days,35
advance,standard,london paddington,reading,senior,4 days,8
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days,5
advance,standard,manchester piccadilly,liverpool lime street,senior,3 days,2
advance,first class,manchester piccadilly,liverpool lime street,senior,7 days,6
advance,standard,london paddington,reading,senior,9 days,8
advance,standard,york,doncaster,disabled,5 days,4
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,birmingham new street,london st pancras,disabled,5 days,15
advance,first class,birmingham new street,london st pancras,disabled,9 days,39
advance,standard,london st pancras,wolverhampton,disabled,5 days,21
advance,standard,london euston,birmingham new street,adult,5 days,4
advance,standard,london euston,birmingham new street,no railcard,3 days,7
advance,standard,london paddington,oxford,no railcard,1 days,18
advance,standard,london paddington,oxford,no railcard,3 days,18
advance,standard,london paddington,reading,no railcard,3 days,13
advance,standard,london paddington,reading,no railcard,3 days,13
advance,standard,london paddington,reading,no railcard,4 days,13
advance,standard,liverpool lime street,manchester piccadilly,adult,2 days,2
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days,2
advance,first class,london euston,birmingham new street,no railcard,2 days,52
advance,first class,york,peterborough,no railcard,1 days,47
advance,standard,liverpool lime street,london euston,no railcard,1 days,76
advance,standard,liverpool lime street,london euston,no railcard,9 days,76
advance,standard,oxford,bristol temple meads,no railcard,2 days,17
advance,standard,liverpool lime street,london euston,no railcard,1 days,76
advance,standard,london kings cross,york,no railcard,6 days,35
advance,standard,manchester piccadilly,sheffield,no railcard,3 days,4
off-peak,standard,london euston,birmingham new street,no railcard,0 days,10
advance,standard,london paddington,reading,no railcard,8 days,13
advance,standard,birmingham new street,london st pancras,senior,4 days,15
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days,2
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
advance,standard,london euston,birmingham new street,no railcard,9 days,7
advance,standard,london paddington,reading,no railcard,8 days,13
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days,12
off-peak,standard,liverpool lime street,manchester piccadilly,disabled,0 days,3
off-peak,standard,york,edinburgh waverley,no railcard,0 days,35
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
off-peak,standard,manchester piccadilly,liverpool lime street,senior,0 days,3
off-peak,standard,manchester piccadilly,sheffield,adult,0 days,4
advance,first class,manchester piccadilly,liverpool lime street,no railcard,1 days,10
off-peak,standard,london paddington,reading,no railcard,0 days,19
off-peak,standard,london paddington,reading,no railcard,0 days,19
advance,standard,london st pancras,birmingham new street,no railcard,1 days,8
anytime,standard,london euston,birmingham new street,disabled,0 days,9
advance,standard,london euston,birmingham new street,no railcard,1 days,7
advance,standard,manchester piccadilly,liverpool lime street,senior,6 days,2
anytime,standard,london euston,birmingham new street,no railcard,0 days,13
advance,standard,london euston,birmingham new street,no railcard,1 days,7
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days,2
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days,2
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
anytime,standard,london kings cross,york,no railcard,0 days,70
advance,first class,london paddington,reading,no railcard,8 days,27
advance,standard,london paddington,reading,no railcard,3 days,13
advance,standard,london paddington,manchester piccadilly,no railcard,7 days,73
advance,standard,london paddington,reading,no railcard,11 days,13
advance,standard,manchester piccadilly,london euston,no railcard,1 days,84
anytime,standard,london st pancras,birmingham new street,no railcard,0 days,16
advance,first class,manchester piccadilly,liverpool lime street,senior,1 days,6
advance,standard,manchester piccadilly,liverpool lime street,adult,7 days,2
advance,standard,london paddington,reading,no railcard,1 days,13
advance,standard,london euston,birmingham new street,disabled,1 days,4
anytime,standard,london paddington,reading,senior,0 days,17
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
anytime,first class,london st pancras,birmingham new street,no railcard,0 days,107
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,london euston,birmingham new street,adult,5 days,4
advance,standard,london st pancras,birmingham new street,disabled,2 days,5
advance,standard,manchester piccadilly,liverpool lime street,senior,5 days,2
advance,standard,london kings cross,york,adult,3 days,23
advance,standard,london st pancras,leicester,adult,9 days,16
advance,standard,london euston,birmingham new street,no railcard,1 days,7
anytime,standard,london st pancras,leicester,senior,0 days,31
advance,standard,manchester piccadilly,liverpool lime street,no railcard,5 days,3
advance,first class,london euston,birmingham new street,no railcard,1 days,52
off-peak,standard,london paddington,reading,no railcard,0 days,19
advance,standard,london paddington,reading,no railcard,8 days,13
advance,standard,liverpool lime street,manchester piccadilly,senior,1 days,2
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,4
advance,standard,london kings cross,york,no railcard,9 days,35
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,4
advance,first class,liverpool lime street,manchester piccadilly,adult,7 days,7
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days,2
advance,standard,london st pancras,leicester,senior,3 days,16
advance,standard,london st pancras,birmingham new street,no railcard,4 days,8
advance,standard,manchester piccadilly,liverpool lime street,senior,8 days,2
advance,standard,london st pancras,leicester,senior,1 days,16
advance,standard,manchester piccadilly,liverpool lime street,no railcard,3 days,3
advance,standard,london st pancras,birmingham new street,no railcard,5 days,8
advance,standard,birmingham new street,tamworth,no railcard,6 days,5
advance,standard,birmingham new street,tamworth,no railcard,1 days,5
advance,standard,london euston,manchester piccadilly,senior,4 days,48
advance,standard,london st pancras,birmingham new street,no railcard,5 days,8
advance,standard,birmingham new street,tamworth,no railcard,1 days,5
advance,standard,london kings cross,york,no railcard,1 days,35
advance,standard,manchester piccadilly,liverpool lime street,no railcard,7 days,3
advance,standard,london paddington,reading,no railcard,1 days,13
advance,first class,london st pancras,birmingham new street,no railcard,6 days,54
advance,standard,london st pancras,birmingham new street,no railcard,8 days,8
advance,standard,york,edinburgh,no railcard,1 days,24
off-peak,standard,london euston,manchester piccadilly,adult,0 days,72
advance,standard,manchester piccadilly,liverpool lime street,no railcard,8 days,3
advance,standard,manchester piccadilly,liverpool lime street,no railcard,9 days,3
advance,first class,london kings cross,york,no railcard,1 days,57
advance,standard,london st pancras,birmingham new street,no railcard,1 days,8
advance,standard,birmingham new street,london euston,senior,1 days,14
advance,standard,london euston,manchester piccadilly,no railcard,1 days,72
advance,standard,london euston,manchester piccadilly,no railcard,6 days,72
advance,standard,london euston,birmingham new street,no railcard,9 days,7
advance,standard,london euston,birmingham new street,no railcard,5 days,7
advance,standard,london euston,birmingham new street,no railcard,1 days,7
advance,standard,birmingham new street,liverpool lime street,no railcard,4 days,6
advance,standard,birmingham new street,liverpool lime street,senior,1 days,4
advance,standard,london paddington,reading,adult,1 days,8
advance,standard,manchester piccadilly,london euston,adult,1 days,56
advance,standard,london euston,birmingham new street,no railcard,4 days,7
off-peak,standard,london kings cross,york,no railcard,0 days,53
off-peak,standard,london euston,birmingham new street,no railcard,0 days,10
off-peak,standard,york,durham,disabled,0 days,8
advance,standard,york,durham,disabled,5 days,5
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days,2
advance,standard,birmingham new street,london st pancras,adult,4 days,15
off-peak,standard,london kings cross,york,no railcard,0 days,53
advance,standard,york,durham,no railcard,1 days,8
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,liverpool lime street,manchester piccadilly,no railcard,8 days,3
anytime,standard,london paddington,reading,senior,0 days,17
anytime,standard,london paddington,reading,senior,0 days,17
anytime,standard,manchester piccadilly,liverpool lime street,senior,0 days,3
anytime,standard,york,doncaster,disabled,0 days,7
anytime,standard,york,doncaster,disabled,0 days,7
advance,standard,york,durham,no railcard,7 days,8
anytime,standard,york,doncaster,disabled,0 days,7
anytime,first class,london kings cross,york,no railcard,0 days,114
anytime,standard,london euston,birmingham new street,no railcard,0 days,13
advance,standard,london euston,birmingham new street,no railcard,2 days,7
anytime,standard,liverpool lime street,manchester piccadilly,no railcard,0 days,6
anytime,standard,london euston,birmingham new street,no railcard,0 days,13
advance,standard,london st pancras,birmingham new street,no railcard,1 days,8
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
anytime,standard,liverpool lime street,london euston,no railcard,0 days,151
anytime,first class,london paddington,reading,no railcard,0 days,54
anytime,first class,manchester piccadilly,liverpool lime street,adult,0 days,13
off-peak,standard,london kings cross,york,no railcard,0 days,53
off-peak,standard,london euston,birmingham new street,no railcard,0 days,10
anytime,standard,london kings cross,edinburgh waverley,disabled,0 days,48
advance,standard,manchester piccadilly,liverpool lime street,no railcard,4 days,3
advance,standard,london paddington,reading,senior,5 days,8
advance,standard,london paddington,reading,senior,4 days,8
advance,standard,london kings cross,york,no railcard,8 days,35
advance,standard,birmingham new street,london st pancras,disabled,8 days,15
advance,standard,london euston,birmingham new street,adult,7 days,4
advance,standard,york,doncaster,disabled,4 days,4
advance,standard,birmingham new street,london st pancras,disabled,3 days,15
advance,standard,london paddington,reading,no railcard,5 days,13
advance,standard,london paddington,reading,no railcard,2 days,13
advance,standard,london paddington,oxford,no railcard,4 days,18
advance,standard,london paddington,reading,no railcard,6 days,13
advance,first class,london euston,birmingham new street,no railcard,6 days,52
advance,standard,reading,swindon,no railcard,1 days,9
advance,first class,london kings cross,york,no railcard,4 days,57
advance,standard,liverpool lime street,london euston,no railcard,1 days,76
advance,first class,manchester piccadilly,london euston,no railcard,1 days,134
advance,standard,liverpool lime street,london euston,no railcard,4 days,76
advance,standard,liverpool lime street,london euston,no railcard,2 days,76
off-peak,standard,london euston,birmingham new street,no railcard,0 days,10
off-peak,standard,liverpool lime street,manchester piccadilly,adult,0 days,3
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days,5
advance,standard,london paddington,reading,no railcard,8 days,13
advance,standard,london kings cross,york,no railcard,7 days,35
off-peak,standard,liverpool lime street,manchester piccadilly,adult,0 days,3
off-peak,standard,london paddington,reading,disabled,0 days,13
off-peak,standard,london euston,birmingham new street,no railcard,0 days,10
advance,first class,birmingham new street,manchester piccadilly,adult,6 days,19
off-peak,standard,london euston,birmingham new street,no railcard,0 days,10
advance,standard,liverpool lime street,manchester piccadilly,disabled,7 days,2
off-peak,standard,london paddington,manchester piccadilly,no railcard,0 days,110
advance,standard,london kings cross,york,senior,6 days,23
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,4
anytime,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,5
anytime,standard,london st pancras,birmingham new street,no railcard,0 days,16
anytime,standard,london euston,birmingham new street,disabled,0 days,9
advance,standard,manchester piccadilly,liverpool lime street,no railcard,8 days,3
advance,standard,manchester piccadilly,liverpool lime street,senior,7 days,2
advance,standard,london paddington,reading,no railcard,7 days,13
advance,first class,manchester piccadilly,liverpool lime street,senior,2 days,6
advance,standard,london paddington,reading,no railcard,1 days,13
advance,standard,manchester piccadilly,sheffield,adult,1 days,2
anytime,standard,london kings cross,york,no railcard,0 days,70
advance,standard,london paddington,liverpool lime street,adult,3 days,43
advance,standard,london paddington,reading,no railcard,5 days,13
advance,standard,edinburgh waverley,london kings cross,no railcard,8 days,29
anytime,first class,manchester piccadilly,liverpool lime street,no railcard,0 days,19
advance,standard,manchester piccadilly,london euston,senior,5 days,56
advance,standard,london st pancras,birmingham new street,no railcard,2 days,8
advance,standard,london kings cross,york,no railcard,1 days,35
advance,first class,london st pancras,birmingham new street,no railcard,7 days,54
anytime,standard,london euston,manchester piccadilly,no railcard,0 days,143
anytime,standard,liverpool lime street,crewe,senior,0 days,11
advance,standard,manchester piccadilly,liverpool lime street,senior,6 days,2
advance,standard,london euston,birmingham new street,adult,6 days,4
advance,standard,manchester piccadilly,liverpool lime street,senior,6 days,2
advance,standard,liverpool lime street,manchester piccadilly,no railcard,5 days,3
advance,standard,manchester piccadilly,london euston,adult,1 days,56
advance,standard,manchester piccadilly,liverpool lime street,no railcard,8 days,3
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,london paddington,reading,adult,1 days,8
advance,standard,london kings cross,york,no railcard,3 days,35
advance,standard,london st pancras,birmingham new street,no railcard,5 days,8
advance,standard,london st pancras,leicester,senior,6 days,16
advance,standard,london kings cross,york,senior,2 days,23
advance,standard,london paddington,reading,no railcard,1 days,13
advance,standard,london st pancras,leicester,senior,1 days,16
advance,standard,birmingham new street,tamworth,no railcard,1 days,5
off-peak,standard,birmingham new street,liverpool lime street,no railcard,0 days,8
advance,standard,birmingham new street,tamworth,no railcard,1 days,5
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,liverpool lime street,crewe,senior,4 days,6
advance,standard,london kings cross,york,no railcard,1 days,35
advance,standard,liverpool lime street,crewe,senior,4 days,6
advance,standard,london kings cross,york,no railcard,1 days,35
advance,standard,london paddington,reading,no railcard,2 days,13
advance,standard,london kings cross,york,no railcard,3 days,35
advance,standard,london kings cross,york,no railcard,7 days,35
advance,standard,london kings cross,york,no railcard,7 days,35
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days,12
off-peak,standard,london euston,manchester piccadilly,adult,0 days,72
advance,standard,liverpool lime street,manchester piccadilly,adult,6 days,2
off-peak,standard,london kings cross,york,no railcard,0 days,53
advance,standard,london euston,birmingham new street,no railcard,6 days,7
advance,standard,london euston,birmingham new street,no railcard,6 days,7
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days,2
advance,first class,manchester piccadilly,liverpool lime street,no railcard,1 days,10
advance,standard,london euston,birmingham new street,no railcard,1 days,7
advance,standard,london kings cross,york,no railcard,1 days,35
advance,standard,london euston,birmingham new street,no railcard,1 days,7
advance,standard,london euston,birmingham new street,no railcard,1 days,7
advance,standard,london euston,birmingham new street,no railcard,7 days,7
advance,standard,london paddington,reading,no railcard,1 days,13
off-peak,standard,liverpool lime street,london euston,adult,0 days,76
off-peak,standard,london kings cross,york,no railcard,0 days,53
off-peak,standard,london kings cross,york,no railcard,0 days,53
off-peak,standard,london paddington,reading,no railcard,0 days,19
advance,standard,manchester piccadilly,liverpool lime street,adult,7 days,2
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days,2
advance,standard,birmingham new street,london st pancras,adult,3 days,15
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days,12
advance,first class,york,durham,no railcard,2 days,10
advance,standard,london st pancras,birmingham new street,no railcard,2 days,8
advance,standard,london paddington,reading,no railcard,1 days,13
advance,standard,manchester piccadilly,nottingham,no railcard,1 days,12
advance,standard,london paddington,reading,disabled,1 days,8
off-peak,first class,london kings cross,york,no railcard,0 days,86
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
anytime,standard,manchester piccadilly,liverpool lime street,senior,0 days,3
anytime,standard,london st pancras,birmingham new street,no railcard,0 days,16
anytime,standard,birmingham new street,london st pancras,no railcard,0 days,44
anytime,standard,birmingham new street,london st pancras,no railcard,0 days,44
advance,standard,liverpool lime street,manchester piccadilly,disabled,7 days,2
anytime,standard,reading,swindon,no railcard,0 days,18
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
anytime,standard,london kings cross,york,no railcard,0 days,70
advance,standard,london st pancras,birmingham new street,no railcard,5 days,8
advance,standard,london kings cross,york,no railcard,6 days,35
anytime,standard,liverpool lime street,london euston,no railcard,0 days,151
anytime,standard,liverpool lime street,london euston,no railcard,0 days,151
advance,standard,london kings cross,liverpool lime street,adult,1 days,43
anytime,standard,liverpool lime street,london euston,no railcard,0 days,151
anytime,standard,liverpool lime street,london euston,no railcard,0 days,151
anytime,standard,london paddington,reading,no railcard,0 days,25
advance,standard,london st pancras,birmingham new street,no railcard,5 days,8
anytime,standard,london kings cross,york,no railcard,0 days,70
advance,standard,manchester piccadilly,liverpool lime street,no railcard,7 days,3
advance,first class,london euston,birmingham new street,no railcard,1 days,52
advance,first class,liverpool lime street,manchester piccadilly,no railcard,2 days,10
advance,standard,reading,oxford,senior,5 days,4
advance,standard,london paddington,reading,senior,7 days,8
advance,standard,london kings cross,york,no railcard,2 days,35
advance,standard,london paddington,reading,senior,4 days,8
advance,standard,london paddington,reading,senior,5 days,8
advance,standard,london kings cross,york,no railcard,7 days,35
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days,2
advance,standard,london paddington,reading,senior,6 days,8
advance,standard,york,doncaster,no railcard,2 days,6
advance,standard,london st pancras,wolverhampton,disabled,1 days,21
advance,standard,london euston,birmingham new street,adult,1 days,4
advance,standard,manchester piccadilly,liverpool lime street,no railcard,3 days,3
advance,standard,london st pancras,birmingham new street,no railcard,5 days,8
advance,standard,london paddington,reading,no railcard,1 days,13
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days,5
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days,5
advance,standard,liverpool lime street,crewe,senior,7 days,6
advance,standard,london kings cross,york,no railcard,2 days,35
advance,first class,birmingham new street,london euston,no railcard,5 days,55
advance,standard,liverpool lime street,london euston,no railcard,5 days,76
off-peak,standard,london euston,birmingham new street,disabled,0 days,7
advance,standard,york,leeds,no railcard,7 days,3
advance,standard,london paddington,reading,no railcard,3 days,13
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days,12
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,manchester piccadilly,liverpool lime street,no railcard,6 days,3
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
off-peak,standard,london kings cross,york,no railcard,0 days,53
off-peak,standard,london paddington,reading,no railcard,0 days,19
advance,standard,liverpool lime street,london st pancras,no railcard,7 days,77
off-peak,standard,liverpool lime street,manchester piccadilly,adult,0 days,3
off-peak,standard,manchester piccadilly,liverpool lime street,senior,0 days,3
advance,standard,liverpool lime street,manchester piccadilly,adult,2 days,2
advance,standard,london st pancras,birmingham new street,no railcard,8 days,8
advance,standard,london st pancras,birmingham new street,no railcard,3 days,8
advance,standard,london st pancras,birmingham new street,no railcard,3 days,8
advance,standard,london st pancras,birmingham new street,no railcard,4 days,8
