Date of Journey,Route,Demand
2024-03-02,liverpool lime street-leeds,1
2024-03-02,liverpool lime street-london euston,11
2024-03-02,liverpool lime street-manchester piccadilly,18
2024-03-02,london euston-birmingham new street,17
2024-03-02,london euston-manchester piccadilly,7
2024-03-02,london kings cross-edinburgh waverley,3
2024-03-02,london kings cross-liverpool lime street,1
2024-03-02,london kings cross-york,21
2024-03-02,london paddington-reading,15
2024-03-02,london st pancras-birmingham new street,11
2024-03-02,london st pancras-leicester,3
2024-03-02,london st pancras-wolverhampton,1
2024-03-02,manchester piccadilly-liverpool lime street,29
2024-03-02,manchester piccadilly-london euston,1
2024-03-02,manchester piccadilly-sheffield,1
2024-03-02,oxford-bristol temple meads,1
2024-03-02,reading-london paddington,1
2024-03-02,reading-swindon,1
2024-03-02,york-birmingham new street,1
2024-03-02,york-doncaster,1
2024-03-02,york-edinburgh,1
2024-03-02,york-peterborough,2
2024-03-03,birmingham new street-liverpool lime street,1
2024-03-03,birmingham new street-london euston,1
2024-03-03,birmingham new street-london paddington,1
2024-03-03,birmingham new street-london st pancras,7
2024-03-03,birmingham new street-manchester piccadilly,1
2024-03-03,birmingham new street-nuneaton,1
2024-03-03,birmingham new street-stafford,1
2024-03-03,birmingham new street-tamworth,2
2024-03-03,birmingham new street-wolverhampton,1
2024-03-03,liverpool lime street-crewe,3
2024-03-03,liverpool lime street-leeds,1
2024-03-03,liverpool lime street-london euston,8
2024-03-03,liverpool lime street-manchester piccadilly,34
2024-03-03,liverpool lime street-sheffield,1
2024-03-03,london euston-birmingham new street,33
2024-03-03,london euston-manchester piccadilly,7
2024-03-03,london kings cross-edinburgh waverley,1
2024-03-03,london kings cross-york,41
2024-03-03,london paddington-oxford,5
2024-03-03,london paddington-reading,37
2024-03-03,london st pancras-birmingham new street,32
2024-03-03,london st pancras-leicester,5
2024-03-03,london st pancras-wolverhampton,1
2024-03-03,manchester piccadilly-leeds,3
2024-03-03,manchester piccadilly-liverpool lime street,39
2024-03-03,manchester piccadilly-london euston,2
2024-03-03,manchester piccadilly-london paddington,1
2024-03-03,manchester piccadilly-nottingham,2
2024-03-03,manchester piccadilly-sheffield,1
2024-03-03,oxford-bristol temple meads,1
2024-03-03,reading-didcot,1
2024-03-03,reading-london paddington,2
2024-03-03,reading-oxford,3
2024-03-03,reading-swindon,3
2024-03-03,york-doncaster,3
2024-03-03,york-durham,1
2024-03-03,york-edinburgh,1
2024-03-03,york-leeds,1
2024-03-03,york-peterborough,1
2024-03-04,birmingham new street-liverpool lime street,1
2024-03-04,birmingham new street-london euston,3
2024-03-04,birmingham new street-london st pancras,9
2024-03-04,birmingham new street-manchester piccadilly,4
2024-03-04,birmingham new street-nuneaton,1
2024-03-04,birmingham new street-stafford,2
2024-03-04,birmingham new street-york,1
2024-03-04,liverpool lime street-leeds,2
2024-03-04,liverpool lime street-london euston,12
2024-03-04,liverpool lime street-london st pancras,1
2024-03-04,liverpool lime street-manchester piccadilly,23
2024-03-04,london euston-birmingham new street,29
2024-03-04,london euston-manchester piccadilly,4
2024-03-04,london kings cross-edinburgh waverley,2
2024-03-04,london kings cross-liverpool lime street,1
2024-03-04,london kings cross-york,29
2024-03-04,london paddington-liverpool lime street,1
2024-03-04,london paddington-london waterloo,1
2024-03-04,london paddington-oxford,6
2024-03-04,london paddington-reading,28
2024-03-04,london st pancras-birmingham new street,25
2024-03-04,london st pancras-leicester,3
2024-03-04,manchester piccadilly-liverpool lime street,38
2024-03-04,manchester piccadilly-london euston,1
2024-03-04,manchester piccadilly-london paddington,1
2024-03-04,manchester piccadilly-nottingham,2
2024-03-04,manchester piccadilly-sheffield,1
2024-03-04,manchester piccadilly-warrington,1
2024-03-04,oxford-bristol temple meads,2
2024-03-04,reading-london paddington,4
2024-03-04,york-durham,3
2024-03-04,york-peterborough,2
2024-03-04,york-wakefield,1
2024-03-05,birmingham new street-edinburgh,1
2024-03-05,birmingham new street-liverpool lime street,1
2024-03-05,birmingham new street-london paddington,1
2024-03-05,birmingham new street-london st pancras,2
2024-03-05,birmingham new street-manchester piccadilly,1
2024-03-05,birmingham new street-nuneaton,2
2024-03-05,birmingham new street-tamworth,6
2024-03-05,edinburgh waverley-london kings cross,1
2024-03-05,liverpool lime street-birmingham new street,1
2024-03-05,liverpool lime street-london euston,6
2024-03-05,liverpool lime street-london st pancras,1
2024-03-05,liverpool lime street-manchester piccadilly,30
2024-03-05,liverpool lime street-sheffield,1
2024-03-05,london euston-birmingham new street,37
2024-03-05,london euston-manchester piccadilly,2
2024-03-05,london kings cross-edinburgh waverley,1
2024-03-05,london kings cross-liverpool lime street,2
2024-03-05,london kings cross-york,34
2024-03-05,london paddington-liverpool lime street,3
2024-03-05,london paddington-london waterloo,1
2024-03-05,london paddington-manchester piccadilly,1
2024-03-05,london paddington-oxford,7
2024-03-05,london paddington-reading,44
2024-03-05,london st pancras-birmingham new street,35
2024-03-05,london st pancras-leicester,4
2024-03-05,manchester piccadilly-liverpool lime street,44
2024-03-05,manchester piccadilly-london euston,4
2024-03-05,manchester piccadilly-london paddington,1
2024-03-05,manchester piccadilly-nottingham,3
2024-03-05,oxford-bristol temple meads,1
2024-03-05,reading-birmingham new street,2
2024-03-05,reading-didcot,1
2024-03-05,reading-london paddington,1
2024-03-05,reading-oxford,1
2024-03-05,reading-swindon,1
2024-03-05,york-doncaster,4
2024-03-05,york-durham,3
2024-03-05,york-edinburgh waverley,1
2024-03-05,york-peterborough,4
2024-03-06,birmingham new street-liverpool lime street,2
2024-03-06,birmingham new street-london euston,1
2024-03-06,birmingham new street-london st pancras,8
2024-03-06,birmingham new street-manchester piccadilly,2
2024-03-06,birmingham new street-nuneaton,2
2024-03-06,birmingham new street-reading,1
2024-03-06,birmingham new street-stafford,5
2024-03-06,birmingham new street-tamworth,2
2024-03-06,edinburgh waverley-london kings cross,1
2024-03-06,liverpool lime street-crewe,2
2024-03-06,liverpool lime street-london euston,10
2024-03-06,liverpool lime street-manchester piccadilly,29
2024-03-06,liverpool lime street-sheffield,1
2024-03-06,london euston-birmingham new street,37
2024-03-06,london euston-manchester piccadilly,10
2024-03-06,london euston-oxford,1
2024-03-06,london kings cross-york,32
2024-03-06,london paddington-oxford,2
2024-03-06,london paddington-reading,37
2024-03-06,london st pancras-birmingham new street,39
2024-03-06,london st pancras-leicester,4
2024-03-06,manchester piccadilly-leeds,1
2024-03-06,manchester piccadilly-liverpool lime street,30
2024-03-06,manchester piccadilly-london euston,3
2024-03-06,manchester piccadilly-london paddington,2
2024-03-06,manchester piccadilly-nottingham,1
2024-03-06,manchester piccadilly-sheffield,2
2024-03-06,reading-didcot,1
2024-03-06,reading-oxford,1
2024-03-06,reading-swindon,3
2024-03-06,york-doncaster,4
2024-03-06,york-durham,3
2024-03-06,york-edinburgh,1
2024-03-06,york-peterborough,2
2024-03-07,birmingham new street-coventry,2
2024-03-07,birmingham new street-liverpool lime street,4
2024-03-07,birmingham new street-london euston,1
2024-03-07,birmingham new street-london st pancras,9
2024-03-07,birmingham new street-stafford,1
2024-03-07,birmingham new street-tamworth,1
2024-03-07,birmingham new street-wolverhampton,1
2024-03-07,birmingham new street-york,2
2024-03-07,liverpool lime street-crewe,1
2024-03-07,liverpool lime street-leeds,1
2024-03-07,liverpool lime street-london euston,8
2024-03-07,liverpool lime street-london st pancras,1
2024-03-07,liverpool lime street-manchester piccadilly,16
2024-03-07,liverpool lime street-sheffield,1
2024-03-07,london euston-birmingham new street,29
2024-03-07,london euston-manchester piccadilly,9
2024-03-07,london kings cross-edinburgh waverley,1
2024-03-07,london kings cross-liverpool lime street,1
2024-03-07,london kings cross-york,35
2024-03-07,london paddington-oxford,6
2024-03-07,london paddington-reading,36
2024-03-07,london st pancras-birmingham new street,24
2024-03-07,london st pancras-leicester,4
2024-03-07,manchester piccadilly-leeds,3
2024-03-07,manchester piccadilly-liverpool lime street,42
2024-03-07,manchester piccadilly-london euston,3
2024-03-07,manchester piccadilly-sheffield,2
2024-03-07,reading-birmingham new street,1
2024-03-07,reading-london paddington,1
2024-03-07,reading-oxford,1
2024-03-07,reading-swindon,4
2024-03-07,york-doncaster,1
2024-03-07,york-durham,2
2024-03-07,york-peterborough,3
2024-03-08,birmingham new street-london st pancras,5
2024-03-08,birmingham new street-manchester piccadilly,1
2024-03-08,birmingham new street-nuneaton,1
2024-03-08,birmingham new street-reading,4
2024-03-08,birmingham new street-tamworth,3
2024-03-08,liverpool lime street-crewe,2
2024-03-08,liverpool lime street-london euston,13
2024-03-08,liverpool lime street-manchester piccadilly,15
2024-03-08,liverpool lime street-sheffield,1
2024-03-08,london euston-birmingham new street,40
2024-03-08,london euston-manchester piccadilly,5
2024-03-08,london kings cross-edinburgh waverley,4
2024-03-08,london kings cross-liverpool lime street,2
2024-03-08,london kings cross-york,41
2024-03-08,london paddington-oxford,3
2024-03-08,london paddington-reading,36
2024-03-08,london st pancras-birmingham new street,24
2024-03-08,london st pancras-leicester,1
2024-03-08,london st pancras-wolverhampton,1
2024-03-08,manchester piccadilly-liverpool lime street,33
2024-03-08,manchester piccadilly-london euston,2
2024-03-08,manchester piccadilly-london paddington,3
2024-03-08,manchester piccadilly-nottingham,2
2024-03-08,oxford-bristol temple meads,1
2024-03-08,reading-didcot,1
2024-03-08,reading-london paddington,2
2024-03-08,reading-oxford,1
2024-03-08,york-doncaster,2
2024-03-08,york-durham,1
2024-03-08,york-peterborough,1
2024-03-09,birmingham new street-liverpool lime street,2
2024-03-09,birmingham new street-london euston,1
2024-03-09,birmingham new street-london st pancras,10
2024-03-09,birmingham new street-manchester piccadilly,1
2024-03-09,birmingham new street-nuneaton,2
2024-03-09,birmingham new street-reading,1
2024-03-09,birmingham new street-stafford,1
2024-03-09,birmingham new street-tamworth,5
2024-03-09,birmingham new street-wolverhampton,1
2024-03-09,liverpool lime street-crewe,3
2024-03-09,liverpool lime street-london euston,12
2024-03-09,liverpool lime street-london paddington,1
2024-03-09,liverpool lime street-manchester piccadilly,38
2024-03-09,liverpool lime street-sheffield,2
2024-03-09,london euston-birmingham new street,42
2024-03-09,london euston-manchester piccadilly,6
2024-03-09,london kings cross-edinburgh waverley,1
2024-03-09,london kings cross-liverpool lime street,1
2024-03-09,london kings cross-york,37
2024-03-09,london paddington-oxford,7
2024-03-09,london paddington-reading,38
2024-03-09,london st pancras-birmingham new street,38
2024-03-09,london st pancras-leicester,3
2024-03-09,london st pancras-wolverhampton,1
2024-03-09,manchester piccadilly-leeds,1
2024-03-09,manchester piccadilly-liverpool lime street,34
2024-03-09,manchester piccadilly-london euston,2
2024-03-09,manchester piccadilly-london paddington,1
2024-03-09,manchester piccadilly-nottingham,3
2024-03-09,oxford-bristol temple meads,1
2024-03-09,reading-birmingham new street,1
2024-03-09,reading-london paddington,1
2024-03-09,reading-oxford,1
2024-03-09,york-doncaster,3
2024-03-09,york-durham,1
2024-03-09,york-edinburgh,3
2024-03-09,york-peterborough,7
2024-03-10,birmingham new street-liverpool lime street,1
2024-03-10,birmingham new street-london st pancras,7
2024-03-10,birmingham new street-manchester piccadilly,4
2024-03-10,birmingham new street-nuneaton,1
2024-03-10,birmingham new street-reading,1
2024-03-10,birmingham new street-stafford,2
2024-03-10,birmingham new street-tamworth,1
2024-03-10,liverpool lime street-crewe,4
2024-03-10,liverpool lime street-leeds,1
2024-03-10,liverpool lime street-london euston,8
2024-03-10,liverpool lime street-manchester piccadilly,28
2024-03-10,london euston-birmingham new street,51
2024-03-10,london euston-manchester piccadilly,6
2024-03-10,london kings cross-edinburgh waverley,2
2024-03-10,london kings cross-liverpool lime street,2
2024-03-10,london kings cross-york,34
2024-03-10,london paddington-manchester piccadilly,1
2024-03-10,london paddington-oxford,4
2024-03-10,london paddington-reading,30
2024-03-10,london st pancras-birmingham new street,39
2024-03-10,london st pancras-leicester,3
2024-03-10,manchester piccadilly-leeds,2
2024-03-10,manchester piccadilly-liverpool lime street,44
2024-03-10,manchester piccadilly-london euston,3
2024-03-10,manchester piccadilly-london kings cross,1
2024-03-10,manchester piccadilly-london paddington,1
2024-03-10,manchester piccadilly-nottingham,1
2024-03-10,oxford-bristol temple meads,2
2024-03-10,reading-london paddington,1
2024-03-10,reading-oxford,1
2024-03-10,york-doncaster,2
2024-03-10,york-durham,5
2024-03-10,york-peterborough,1
2024-03-11,birmingham new street-london euston,1
2024-03-11,birmingham new street-london paddington,2
2024-03-11,birmingham new street-london st pancras,9
2024-03-11,birmingham new street-manchester piccadilly,2
2024-03-11,birmingham new street-nuneaton,3
2024-03-11,birmingham new street-stafford,1
2024-03-11,liverpool lime street-birmingham new street,1
2024-03-11,liverpool lime street-crewe,1
2024-03-11,liverpool lime street-leeds,2
2024-03-11,liverpool lime street-london euston,11
2024-03-11,liverpool lime street-manchester piccadilly,22
2024-03-11,liverpool lime street-sheffield,3
2024-03-11,london euston-birmingham new street,40
2024-03-11,london euston-manchester piccadilly,5
2024-03-11,london kings cross-york,30
2024-03-11,london paddington-liverpool lime street,1
2024-03-11,london paddington-manchester piccadilly,1
2024-03-11,london paddington-oxford,2
2024-03-11,london paddington-reading,35
2024-03-11,london st pancras-birmingham new street,46
2024-03-11,london st pancras-leicester,4
2024-03-11,manchester piccadilly-leeds,1
2024-03-11,manchester piccadilly-liverpool lime street,43
2024-03-11,manchester piccadilly-london euston,2
2024-03-11,manchester piccadilly-london paddington,1
2024-03-11,manchester piccadilly-nottingham,3
2024-03-11,manchester piccadilly-sheffield,1
2024-03-11,reading-birmingham new street,2
2024-03-11,reading-didcot,2
2024-03-11,reading-london paddington,3
2024-03-11,reading-swindon,2
2024-03-11,york-birmingham new street,1
2024-03-11,york-doncaster,1
2024-03-11,york-durham,2
2024-03-11,york-edinburgh,1
2024-03-11,york-liverpool lime street,1
2024-03-11,york-peterborough,3
2024-03-11,york-wakefield,1
2024-03-12,birmingham new street-london euston,1
2024-03-12,birmingham new street-london kings cross,2
2024-03-12,birmingham new street-london st pancras,8
2024-03-12,birmingham new street-manchester piccadilly,3
2024-03-12,birmingham new street-nuneaton,3
2024-03-12,birmingham new street-stafford,1
2024-03-12,birmingham new street-tamworth,2
2024-03-12,liverpool lime street-leeds,1
2024-03-12,liverpool lime street-london euston,9
2024-03-12,liverpool lime street-manchester piccadilly,14
2024-03-12,london euston-birmingham new street,31
2024-03-12,london euston-manchester piccadilly,8
2024-03-12,london kings cross-york,36
2024-03-12,london paddington-liverpool lime street,1
2024-03-12,london paddington-london waterloo,1
2024-03-12,london paddington-oxford,8
2024-03-12,london paddington-reading,25
2024-03-12,london st pancras-birmingham new street,29
2024-03-12,london st pancras-leicester,2
2024-03-12,london st pancras-wolverhampton,1
2024-03-12,manchester piccadilly-liverpool lime street,40
2024-03-12,manchester piccadilly-london euston,4
2024-03-12,manchester piccadilly-london paddington,1
2024-03-12,manchester piccadilly-warrington,1
2024-03-12,oxford-bristol temple meads,2
2024-03-12,reading-birmingham new street,1
2024-03-12,reading-swindon,1
2024-03-12,york-birmingham new street,2
2024-03-12,york-doncaster,2
2024-03-12,york-edinburgh,2
2024-03-12,york-leeds,1
2024-03-12,york-wakefield,1
2024-03-13,birmingham new street-liverpool lime street,1
2024-03-13,birmingham new street-london st pancras,7
2024-03-13,birmingham new street-manchester piccadilly,3
2024-03-13,birmingham new street-nuneaton,1
2024-03-13,birmingham new street-reading,1
2024-03-13,birmingham new street-stafford,2
2024-03-13,birmingham new street-tamworth,3
2024-03-13,birmingham new street-york,1
2024-03-13,edinburgh waverley-london kings cross,1
2024-03-13,liverpool lime street-crewe,1
2024-03-13,liverpool lime street-leeds,2
2024-03-13,liverpool lime street-london euston,13
2024-03-13,liverpool lime street-manchester piccadilly,25
2024-03-13,liverpool lime street-sheffield,1
2024-03-13,london euston-birmingham new street,35
2024-03-13,london euston-manchester piccadilly,5
2024-03-13,london kings cross-edinburgh waverley,3
2024-03-13,london kings cross-liverpool lime street,1
2024-03-13,london kings cross-york,36
2024-03-13,london paddington-liverpool lime street,2
2024-03-13,london paddington-manchester piccadilly,1
2024-03-13,london paddington-oxford,2
2024-03-13,london paddington-reading,37
2024-03-13,london st pancras-birmingham new street,27
2024-03-13,london st pancras-leicester,1
2024-03-13,london st pancras-wolverhampton,2
2024-03-13,manchester piccadilly-leeds,1
2024-03-13,manchester piccadilly-liverpool lime street,34
2024-03-13,manchester piccadilly-london paddington,1
2024-03-13,manchester piccadilly-nottingham,2
2024-03-13,manchester piccadilly-warrington,1
2024-03-13,oxford-bristol temple meads,1
2024-03-13,reading-birmingham new street,2
2024-03-13,reading-liverpool lime street,1
2024-03-13,reading-london paddington,1
2024-03-13,reading-oxford,1
2024-03-13,reading-swindon,3
2024-03-13,york-doncaster,2
2024-03-13,york-durham,2
2024-03-13,york-peterborough,2
2024-03-13,york-wakefield,1
2024-03-14,birmingham new street-coventry,1
2024-03-14,birmingham new street-edinburgh,1
2024-03-14,birmingham new street-liverpool lime street,1
2024-03-14,birmingham new street-london euston,2
2024-03-14,birmingham new street-london st pancras,4
2024-03-14,birmingham new street-manchester piccadilly,7
2024-03-14,birmingham new street-stafford,1
2024-03-14,birmingham new street-tamworth,2
2024-03-14,birmingham new street-york,2
2024-03-14,edinburgh waverley-london kings cross,2
2024-03-14,liverpool lime street-crewe,3
2024-03-14,liverpool lime street-leeds,1
2024-03-14,liverpool lime street-london euston,11
2024-03-14,liverpool lime street-london st pancras,1
2024-03-14,liverpool lime street-manchester piccadilly,36
2024-03-14,london euston-birmingham new street,35
2024-03-14,london euston-manchester piccadilly,5
2024-03-14,london kings cross-edinburgh waverley,1
2024-03-14,london kings cross-liverpool lime street,1
2024-03-14,london kings cross-york,37
2024-03-14,london paddington-oxford,3
2024-03-14,london paddington-reading,30
2024-03-14,london st pancras-birmingham new street,27
2024-03-14,london st pancras-leicester,2
2024-03-14,manchester piccadilly-leeds,4
2024-03-14,manchester piccadilly-liverpool lime street,42
2024-03-14,manchester piccadilly-london euston,4
2024-03-14,manchester piccadilly-london kings cross,1
2024-03-14,manchester piccadilly-london paddington,1
2024-03-14,manchester piccadilly-nottingham,1
2024-03-14,manchester piccadilly-sheffield,1
2024-03-14,oxford-bristol temple meads,1
2024-03-14,reading-london paddington,2
2024-03-14,reading-oxford,1
2024-03-14,reading-swindon,3
2024-03-14,york-durham,3
2024-03-14,york-peterborough,3
2024-03-14,york-wakefield,1
2024-03-15,birmingham new street-edinburgh,1
2024-03-15,birmingham new street-liverpool lime street,2
2024-03-15,birmingham new street-london euston,1
2024-03-15,birmingham new street-london st pancras,3
2024-03-15,birmingham new street-manchester piccadilly,1
2024-03-15,birmingham new street-nuneaton,2
2024-03-15,birmingham new street-stafford,3
2024-03-15,birmingham new street-tamworth,1
2024-03-15,birmingham new street-wolverhampton,1
2024-03-15,birmingham new street-york,1
2024-03-15,liverpool lime street-crewe,3
2024-03-15,liverpool lime street-london euston,11
2024-03-15,liverpool lime street-london st pancras,1
2024-03-15,liverpool lime street-manchester piccadilly,30
2024-03-15,liverpool lime street-sheffield,2
2024-03-15,london euston-birmingham new street,27
2024-03-15,london euston-manchester piccadilly,4
2024-03-15,london kings cross-edinburgh waverley,2
2024-03-15,london kings cross-york,36
2024-03-15,london paddington-liverpool lime street,2
2024-03-15,london paddington-oxford,5
2024-03-15,london paddington-reading,34
2024-03-15,london st pancras-birmingham new street,24
2024-03-15,london st pancras-leicester,2
2024-03-15,manchester piccadilly-leeds,1
2024-03-15,manchester piccadilly-liverpool lime street,40
2024-03-15,manchester piccadilly-london paddington,2
2024-03-15,manchester piccadilly-nottingham,1
2024-03-15,oxford-bristol temple meads,2
2024-03-15,reading-london paddington,3
2024-03-15,reading-oxford,2
2024-03-15,york-doncaster,2
2024-03-15,york-durham,3
2024-03-15,york-edinburgh,3
2024-03-15,york-liverpool lime street,1
2024-03-15,york-peterborough,5
2024-03-16,birmingham new street-london st pancras,1
2024-03-16,birmingham new street-manchester piccadilly,2
2024-03-16,birmingham new street-stafford,2
2024-03-16,bristol temple meads-cardiff central,1
2024-03-16,liverpool lime street-crewe,3
2024-03-16,liverpool lime street-london euston,12
2024-03-16,liverpool lime street-manchester piccadilly,20
2024-03-16,london euston-birmingham new street,30
2024-03-16,london euston-manchester piccadilly,4
2024-03-16,london kings cross-edinburgh waverley,1
2024-03-16,london kings cross-liverpool lime street,1
2024-03-16,london kings cross-york,27
2024-03-16,london paddington-london waterloo,1
2024-03-16,london paddington-manchester piccadilly,1
2024-03-16,london paddington-oxford,5
2024-03-16,london paddington-reading,34
2024-03-16,london st pancras-birmingham new street,27
2024-03-16,london st pancras-leicester,2
2024-03-16,manchester piccadilly-liverpool lime street,36
2024-03-16,manchester piccadilly-london euston,4
2024-03-16,manchester piccadilly-london paddington,1
2024-03-16,manchester piccadilly-nottingham,1
2024-03-16,manchester piccadilly-sheffield,2
2024-03-16,oxford-bristol temple meads,3
2024-03-16,reading-london paddington,4
2024-03-16,reading-swindon,2
2024-03-16,york-doncaster,2
2024-03-16,york-durham,3
2024-03-16,york-peterborough,1
2024-03-17,birmingham new street-coventry,1
2024-03-17,birmingham new street-london euston,1
2024-03-17,birmingham new street-london st pancras,9
2024-03-17,birmingham new street-manchester piccadilly,5
2024-03-17,birmingham new street-nuneaton,1
2024-03-17,birmingham new street-stafford,1
2024-03-17,birmingham new street-tamworth,1
2024-03-17,birmingham new street-york,2
2024-03-17,edinburgh waverley-london kings cross,1
2024-03-17,liverpool lime street-crewe,1
2024-03-17,liverpool lime street-leeds,1
2024-03-17,liverpool lime street-london euston,9
2024-03-17,liverpool lime street-manchester piccadilly,24
2024-03-17,liverpool lime street-sheffield,3
2024-03-17,london euston-birmingham new street,34
2024-03-17,london euston-manchester piccadilly,11
2024-03-17,london kings cross-york,33
2024-03-17,london paddington-london waterloo,1
2024-03-17,london paddington-manchester piccadilly,2
2024-03-17,london paddington-oxford,3
2024-03-17,london paddington-reading,30
2024-03-17,london st pancras-birmingham new street,19
2024-03-17,london st pancras-leicester,3
2024-03-17,manchester piccadilly-leeds,1
2024-03-17,manchester piccadilly-liverpool lime street,38
2024-03-17,manchester piccadilly-london euston,1
2024-03-17,manchester piccadilly-london paddington,1
2024-03-17,manchester piccadilly-london st pancras,1
2024-03-17,manchester piccadilly-sheffield,2
2024-03-17,oxford-bristol temple meads,1
2024-03-17,reading-birmingham new street,1
2024-03-17,reading-oxford,1
2024-03-17,reading-swindon,2
2024-03-17,york-birmingham new street,1
2024-03-17,york-doncaster,1
2024-03-17,york-edinburgh,2
2024-03-17,york-peterborough,4
2024-03-18,birmingham new street-liverpool lime street,2
2024-03-18,birmingham new street-london st pancras,9
2024-03-18,birmingham new street-manchester piccadilly,1
2024-03-18,birmingham new street-reading,1
2024-03-18,birmingham new street-tamworth,2
2024-03-18,edinburgh waverley-london kings cross,3
2024-03-18,liverpool lime street-crewe,2
2024-03-18,liverpool lime street-leeds,2
2024-03-18,liverpool lime street-london euston,12
2024-03-18,liverpool lime street-london paddington,2
2024-03-18,liverpool lime street-manchester piccadilly,23
2024-03-18,london euston-birmingham new street,35
2024-03-18,london euston-manchester piccadilly,3
2024-03-18,london euston-oxford,1
2024-03-18,london kings cross-edinburgh waverley,1
2024-03-18,london kings cross-liverpool lime street,1
2024-03-18,london kings cross-york,40
2024-03-18,london paddington-london waterloo,3
2024-03-18,london paddington-oxford,7
2024-03-18,london paddington-reading,36
2024-03-18,london st pancras-birmingham new street,27
2024-03-18,london st pancras-leicester,2
2024-03-18,london st pancras-wolverhampton,1
2024-03-18,manchester piccadilly-leeds,1
2024-03-18,manchester piccadilly-liverpool lime street,57
2024-03-18,manchester piccadilly-london paddington,1
2024-03-18,manchester piccadilly-london st pancras,1
2024-03-18,manchester piccadilly-nottingham,3
2024-03-18,oxford-bristol temple meads,2
2024-03-18,reading-didcot,1
2024-03-18,reading-london paddington,1
2024-03-18,reading-oxford,2
2024-03-18,reading-swindon,1
2024-03-18,york-edinburgh,1
2024-03-18,york-liverpool lime street,1
2024-03-18,york-peterborough,3
2024-03-19,birmingham new street-liverpool lime street,1
2024-03-19,birmingham new street-london kings cross,1
2024-03-19,birmingham new street-london st pancras,5
2024-03-19,birmingham new street-manchester piccadilly,1
2024-03-19,birmingham new street-nuneaton,4
2024-03-19,birmingham new street-stafford,1
2024-03-19,birmingham new street-tamworth,1
2024-03-19,liverpool lime street-birmingham new street,1
2024-03-19,liverpool lime street-crewe,1
2024-03-19,liverpool lime street-leeds,1
2024-03-19,liverpool lime street-london euston,8
2024-03-19,liverpool lime street-london st pancras,1
2024-03-19,liverpool lime street-manchester piccadilly,26
2024-03-19,liverpool lime street-sheffield,1
2024-03-19,london euston-birmingham new street,33
2024-03-19,london euston-manchester piccadilly,6
2024-03-19,london kings cross-york,30
2024-03-19,london paddington-london waterloo,1
2024-03-19,london paddington-oxford,3
2024-03-19,london paddington-reading,30
2024-03-19,london st pancras-birmingham new street,28
2024-03-19,london st pancras-leicester,4
2024-03-19,london st pancras-wolverhampton,1
2024-03-19,manchester piccadilly-leeds,4
2024-03-19,manchester piccadilly-liverpool lime street,43
2024-03-19,manchester piccadilly-london euston,3
2024-03-19,manchester piccadilly-london paddington,2
2024-03-19,manchester piccadilly-nottingham,2
2024-03-19,manchester piccadilly-sheffield,1
2024-03-19,oxford-bristol temple meads,1
2024-03-19,york-doncaster,2
2024-03-19,york-durham,2
2024-03-19,york-edinburgh,1
2024-03-19,york-leeds,1
2024-03-19,york-peterborough,1
2024-03-20,birmingham new street-coventry,1
2024-03-20,birmingham new street-london euston,1
2024-03-20,birmingham new street-london paddington,1
2024-03-20,birmingham new street-london st pancras,6
2024-03-20,birmingham new street-manchester piccadilly,5
2024-03-20,birmingham new street-nuneaton,1
2024-03-20,birmingham new street-stafford,4
2024-03-20,birmingham new street-tamworth,3
2024-03-20,birmingham new street-wolverhampton,1
2024-03-20,birmingham new street-york,1
2024-03-20,edinburgh waverley-london kings cross,1
2024-03-20,liverpool lime street-london euston,3
2024-03-20,liverpool lime street-london paddington,1
2024-03-20,liverpool lime street-manchester piccadilly,15
2024-03-20,liverpool lime street-sheffield,3
2024-03-20,london euston-birmingham new street,37
2024-03-20,london euston-manchester piccadilly,4
2024-03-20,london kings cross-edinburgh waverley,2
2024-03-20,london kings cross-liverpool lime street,2
2024-03-20,london kings cross-york,47
2024-03-20,london paddington-oxford,6
2024-03-20,london paddington-reading,34
2024-03-20,london st pancras-birmingham new street,31
2024-03-20,london st pancras-leicester,2
2024-03-20,london st pancras-wolverhampton,2
2024-03-20,manchester piccadilly-leeds,1
2024-03-20,manchester piccadilly-liverpool lime street,36
2024-03-20,manchester piccadilly-london euston,7
2024-03-20,manchester piccadilly-sheffield,1
2024-03-20,oxford-bristol temple meads,1
2024-03-20,reading-london paddington,1
2024-03-20,reading-oxford,2
2024-03-20,reading-swindon,2
2024-03-20,york-durham,2
2024-03-20,york-edinburgh,2
2024-03-20,york-liverpool lime street,1
2024-03-20,york-peterborough,5
2024-03-21,birmingham new street-liverpool lime street,2
2024-03-21,birmingham new street-london euston,1
2024-03-21,birmingham new street-london kings cross,1
2024-03-21,birmingham new street-london st pancras,11
2024-03-21,birmingham new street-manchester piccadilly,1
2024-03-21,birmingham new street-nuneaton,5
2024-03-21,birmingham new street-stafford,2
2024-03-21,birmingham new street-tamworth,2
2024-03-21,birmingham new street-york,1
2024-03-21,liverpool lime street-crewe,1
2024-03-21,liverpool lime street-leeds,1
2024-03-21,liverpool lime street-london euston,9
2024-03-21,liverpool lime street-london paddington,2
2024-03-21,liverpool lime street-manchester piccadilly,32
2024-03-21,liverpool lime street-sheffield,1
2024-03-21,london euston-birmingham new street,36
2024-03-21,london euston-manchester piccadilly,3
2024-03-21,london kings cross-edinburgh waverley,1
2024-03-21,london kings cross-liverpool lime street,3
