Ticket Type,Ticket Class,Departure Station,Arrival Destination,Railcard,Lead Time
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days
off-peak,first class,manchester piccadilly,liverpool lime street,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,5 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,11 days
off-peak,standard,london kings cross,york,no railcard,0 days
advance,standard,liverpool lime street,sheffield,no railcard,5 days
off-peak,standard,reading,swindon,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days
advance,standard,manchester piccadilly,liverpool lime street,adult,5 days
advance,standard,edinburgh waverley,london kings cross,no railcard,1 days
off-peak,standard,london euston,birmingham new street,adult,0 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
advance,standard,manchester piccadilly,liverpool lime street,senior,5 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
off-peak,standard,london kings cross,york,disabled,0 days
advance,standard,london euston,birmingham new street,disabled,10 days
off-peak,first class,manchester piccadilly,liverpool lime street,no railcard,0 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
advance,standard,london euston,birmingham new street,disabled,10 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
off-peak,first class,london euston,manchester piccadilly,no railcard,0 days
advance,standard,london euston,birmingham new street,adult,2 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,6 days
advance,standard,london euston,birmingham new street,disabled,1 days
advance,standard,london euston,birmingham new street,disabled,9 days
advance,standard,london euston,birmingham new street,disabled,9 days
advance,standard,london paddington,reading,adult,3 days
advance,standard,birmingham new street,manchester piccadilly,adult,9 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,2 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,standard,liverpool lime street,london euston,adult,2 days
advance,standard,birmingham new street,london euston,no railcard,1 days
advance,standard,london euston,birmingham new street,no railcard,8 days
advance,standard,london st pancras,birmingham new street,no railcard,9 days
off-peak,first class,london euston,manchester piccadilly,no railcard,0 days
advance,standard,london kings cross,york,no railcard,3 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,liverpool lime street,london euston,adult,2 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,senior,7 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,5 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,6 days
advance,first class,london st pancras,birmingham new street,no railcard,1 days
off-peak,first class,london paddington,reading,no railcard,0 days
off-peak,standard,liverpool lime street,manchester piccadilly,adult,0 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,adult,11 days
off-peak,first class,london paddington,reading,no railcard,0 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,9 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,4 days
advance,standard,london kings cross,york,no railcard,6 days
advance,standard,london st pancras,birmingham new street,no railcard,7 days
advance,standard,london kings cross,york,no railcard,9 days
advance,standard,birmingham new street,stafford,no railcard,11 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,birmingham new street,stafford,no railcard,3 days
advance,standard,london st pancras,birmingham new street,no railcard,2 days
advance,standard,london kings cross,york,no railcard,5 days
off-peak,standard,liverpool lime street,leeds,no railcard,0 days
off-peak,standard,london euston,manchester piccadilly,adult,0 days
advance,standard,london kings cross,york,no railcard,2 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,london euston,birmingham new street,no railcard,6 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,standard,london euston,birmingham new street,no railcard,5 days
advance,standard,london euston,birmingham new street,no railcard,9 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,london euston,birmingham new street,no railcard,2 days
advance,standard,london euston,birmingham new street,no railcard,10 days
off-peak,standard,york,durham,no railcard,0 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
advance,standard,london kings cross,edinburgh waverley,disabled,8 days
off-peak,standard,london kings cross,york,no railcard,0 days
advance,standard,london kings cross,edinburgh waverley,disabled,10 days
off-peak,standard,manchester piccadilly,nottingham,no railcard,0 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,london euston,birmingham new street,senior,3 days
off-peak,standard,london kings cross,york,no railcard,0 days
advance,standard,birmingham new street,london euston,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,adult,8 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,7 days
advance,standard,liverpool lime street,leeds,no railcard,4 days
off-peak,standard,london kings cross,liverpool lime street,adult,0 days
advance,standard,london st pancras,birmingham new street,adult,8 days
advance,standard,london euston,birmingham new street,no railcard,1 days
off-peak,standard,london paddington,reading,disabled,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,2 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
advance,standard,liverpool lime street,london paddington,adult,1 days
anytime,first class,london euston,birmingham new street,no railcard,0 days
anytime,first class,london euston,manchester piccadilly,no railcard,0 days
advance,standard,london kings cross,york,no railcard,7 days
anytime,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
advance,standard,london euston,birmingham new street,adult,1 days
anytime,standard,london kings cross,york,no railcard,0 days
advance,standard,london paddington,reading,no railcard,8 days
advance,standard,birmingham new street,london st pancras,no railcard,10 days
advance,first class,birmingham new street,london st pancras,no railcard,1 days
advance,standard,london kings cross,york,no railcard,10 days
advance,standard,liverpool lime street,sheffield,adult,1 days
anytime,standard,london paddington,reading,no railcard,0 days
advance,standard,london st pancras,birmingham new street,no railcard,10 days
anytime,standard,london euston,birmingham new street,disabled,0 days
anytime,standard,london paddington,oxford,no railcard,0 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days
off-peak,standard,manchester piccadilly,nottingham,adult,0 days
advance,standard,manchester piccadilly,liverpool lime street,senior,3 days
advance,standard,london kings cross,york,no railcard,8 days
advance,standard,london kings cross,york,no railcard,8 days
advance,standard,manchester piccadilly,liverpool lime street,senior,8 days
advance,standard,birmingham new street,london paddington,senior,7 days
advance,standard,birmingham new street,london st pancras,disabled,4 days
advance,standard,birmingham new street,london kings cross,disabled,9 days
advance,standard,london euston,manchester piccadilly,no railcard,3 days
advance,standard,london kings cross,york,no railcard,2 days
advance,standard,london paddington,reading,no railcard,9 days
advance,standard,london paddington,reading,no railcard,4 days
advance,standard,london paddington,oxford,no railcard,1 days
advance,standard,london paddington,oxford,no railcard,6 days
advance,standard,london paddington,reading,no railcard,6 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,york,peterborough,no railcard,6 days
advance,standard,london kings cross,york,no railcard,7 days
off-peak,standard,manchester piccadilly,sheffield,adult,0 days
advance,standard,oxford,bristol temple meads,no railcard,9 days
advance,standard,liverpool lime street,london euston,no railcard,1 days
advance,standard,reading,birmingham new street,no railcard,6 days
advance,standard,manchester piccadilly,london euston,no railcard,7 days
advance,standard,oxford,bristol temple meads,no railcard,3 days
advance,standard,london euston,manchester piccadilly,no railcard,8 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,standard,london paddington,reading,no railcard,1 days
advance,first class,manchester piccadilly,leeds,adult,8 days
advance,standard,london st pancras,birmingham new street,no railcard,5 days
off-peak,standard,london kings cross,york,no railcard,0 days
advance,standard,manchester piccadilly,liverpool lime street,senior,10 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,10 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
off-peak,standard,london paddington,reading,disabled,0 days
advance,first class,london paddington,reading,no railcard,1 days
advance,standard,birmingham new street,manchester piccadilly,adult,9 days
advance,first class,london kings cross,york,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days
advance,first class,london euston,birmingham new street,no railcard,8 days
off-peak,standard,manchester piccadilly,liverpool lime street,senior,0 days
advance,standard,manchester piccadilly,sheffield,adult,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,5 days
advance,standard,london kings cross,york,no railcard,6 days
advance,first class,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,london st pancras,birmingham new street,adult,2 days
advance,standard,london kings cross,york,no railcard,4 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
advance,standard,manchester piccadilly,london st pancras,no railcard,6 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
anytime,standard,london euston,birmingham new street,adult,0 days
anytime,standard,london euston,birmingham new street,disabled,0 days
advance,first class,london kings cross,york,no railcard,2 days
anytime,standard,manchester piccadilly,liverpool lime street,senior,0 days
anytime,standard,london euston,birmingham new street,disabled,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,4 days
anytime,standard,london euston,birmingham new street,adult,0 days
anytime,standard,london euston,birmingham new street,adult,0 days
anytime,standard,manchester piccadilly,liverpool lime street,adult,0 days
advance,standard,london euston,birmingham new street,no railcard,3 days
anytime,standard,manchester piccadilly,liverpool lime street,adult,0 days
advance,standard,london st pancras,birmingham new street,senior,1 days
advance,standard,manchester piccadilly,liverpool lime street,senior,7 days
anytime,standard,london euston,birmingham new street,no railcard,0 days
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days
advance,standard,manchester piccadilly,liverpool lime street,senior,7 days
advance,standard,manchester piccadilly,liverpool lime street,senior,6 days
advance,standard,manchester piccadilly,london paddington,no railcard,1 days
advance,standard,london st pancras,birmingham new street,adult,10 days
anytime,standard,birmingham new street,london st pancras,disabled,0 days
advance,standard,london st pancras,birmingham new street,no railcard,6 days
anytime,standard,london euston,birmingham new street,adult,0 days
anytime,standard,london euston,birmingham new street,no railcard,0 days
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days
advance,standard,manchester piccadilly,liverpool lime street,adult,7 days
advance,standard,london st pancras,birmingham new street,adult,6 days
advance,standard,london euston,birmingham new street,disabled,1 days
anytime,standard,birmingham new street,nuneaton,no railcard,0 days
anytime,first class,london st pancras,birmingham new street,adult,0 days
anytime,standard,london st pancras,wolverhampton,disabled,0 days
anytime,standard,birmingham new street,tamworth,no railcard,0 days
anytime,standard,london st pancras,birmingham new street,no railcard,0 days
advance,standard,london euston,birmingham new street,adult,2 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
advance,first class,london euston,birmingham new street,adult,8 days
advance,standard,london euston,birmingham new street,adult,1 days
advance,first class,birmingham new street,manchester piccadilly,adult,1 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,standard,birmingham new street,manchester piccadilly,adult,1 days
advance,standard,birmingham new street,manchester piccadilly,adult,1 days
advance,standard,manchester piccadilly,liverpool lime street,adult,10 days
advance,standard,london euston,birmingham new street,no railcard,2 days
advance,standard,manchester piccadilly,london euston,adult,1 days
anytime,standard,london st pancras,leicester,senior,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,7 days
advance,standard,london euston,birmingham new street,no railcard,4 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,first class,london kings cross,york,no railcard,3 days
advance,standard,london kings cross,york,no railcard,2 days
advance,standard,london kings cross,york,no railcard,3 days
off-peak,standard,london euston,manchester piccadilly,no railcard,0 days
advance,standard,london st pancras,birmingham new street,no railcard,4 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
advance,standard,london st pancras,birmingham new street,no railcard,3 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,london euston,birmingham new street,adult,1 days
advance,standard,london euston,birmingham new street,adult,6 days
advance,standard,london euston,birmingham new street,adult,5 days
advance,standard,london st pancras,birmingham new street,no railcard,8 days
advance,standard,birmingham new street,york,adult,3 days
advance,standard,birmingham new street,liverpool lime street,adult,5 days
advance,standard,liverpool lime street,crewe,senior,9 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,3 days
advance,standard,london paddington,reading,no railcard,4 days
advance,standard,london kings cross,york,no railcard,8 days
advance,standard,birmingham new street,nuneaton,no railcard,1 days
advance,standard,london kings cross,york,no railcard,6 days
advance,standard,london st pancras,birmingham new street,no railcard,4 days
advance,standard,london st pancras,birmingham new street,no railcard,7 days
advance,standard,birmingham new street,tamworth,no railcard,6 days
advance,first class,london st pancras,birmingham new street,no railcard,1 days
advance,standard,birmingham new street,stafford,no railcard,4 days
advance,standard,london euston,birmingham new street,no railcard,9 days
off-peak,standard,liverpool lime street,manchester piccadilly,disabled,0 days
advance,standard,london st pancras,birmingham new street,no railcard,9 days
advance,standard,london kings cross,york,no railcard,4 days
advance,standard,london euston,birmingham new street,no railcard,6 days
advance,standard,manchester piccadilly,sheffield,no railcard,1 days
advance,standard,manchester piccadilly,london euston,adult,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,standard,manchester piccadilly,london euston,adult,9 days
advance,standard,london euston,manchester piccadilly,adult,10 days
advance,standard,london euston,oxford,adult,6 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,7 days
advance,standard,liverpool lime street,manchester piccadilly,disabled,7 days
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days
off-peak,standard,london kings cross,york,no railcard,0 days
advance,standard,london kings cross,york,no railcard,5 days
advance,standard,london st pancras,birmingham new street,no railcard,7 days
advance,standard,liverpool lime street,manchester piccadilly,senior,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,2 days
anytime,standard,manchester piccadilly,liverpool lime street,senior,0 days
anytime,standard,manchester piccadilly,liverpool lime street,senior,0 days
anytime,standard,london paddington,reading,senior,0 days
anytime,standard,london kings cross,york,no railcard,0 days
anytime,standard,birmingham new street,london paddington,senior,0 days
advance,standard,york,durham,no railcard,8 days
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days
anytime,standard,birmingham new street,london st pancras,disabled,0 days
anytime,standard,london st pancras,birmingham new street,no railcard,0 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,8 days
advance,standard,london paddington,reading,no railcard,11 days
advance,standard,london st pancras,birmingham new street,no railcard,2 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
anytime,standard,manchester piccadilly,london euston,no railcard,0 days
anytime,standard,liverpool lime street,london euston,no railcard,0 days
anytime,standard,manchester piccadilly,london euston,no railcard,0 days
anytime,standard,reading,birmingham new street,no railcard,0 days
advance,first class,london kings cross,york,no railcard,8 days
anytime,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
anytime,standard,london kings cross,york,no railcard,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
anytime,standard,london paddington,oxford,no railcard,0 days
anytime,standard,london paddington,oxford,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,disabled,1 days
anytime,standard,london paddington,oxford,no railcard,0 days
advance,standard,london paddington,reading,senior,4 days
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
advance,standard,manchester piccadilly,liverpool lime street,senior,3 days
advance,first class,manchester piccadilly,liverpool lime street,senior,7 days
advance,standard,london paddington,reading,senior,9 days
advance,standard,york,doncaster,disabled,5 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,birmingham new street,london st pancras,disabled,5 days
advance,first class,birmingham new street,london st pancras,disabled,9 days
advance,standard,london st pancras,wolverhampton,disabled,5 days
advance,standard,london euston,birmingham new street,adult,5 days
advance,standard,london euston,birmingham new street,no railcard,3 days
advance,standard,london paddington,oxford,no railcard,1 days
advance,standard,london paddington,oxford,no railcard,3 days
advance,standard,london paddington,reading,no railcard,3 days
advance,standard,london paddington,reading,no railcard,3 days
advance,standard,london paddington,reading,no railcard,4 days
advance,standard,liverpool lime street,manchester piccadilly,adult,2 days
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days
advance,first class,london euston,birmingham new street,no railcard,2 days
advance,first class,york,peterborough,no railcard,1 days
advance,standard,liverpool lime street,london euston,no railcard,1 days
advance,standard,liverpool lime street,london euston,no railcard,9 days
advance,standard,oxford,bristol temple meads,no railcard,2 days
advance,standard,liverpool lime street,london euston,no railcard,1 days
advance,standard,london kings cross,york,no railcard,6 days
advance,standard,manchester piccadilly,sheffield,no railcard,3 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
advance,standard,london paddington,reading,no railcard,8 days
advance,standard,birmingham new street,london st pancras,senior,4 days
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,standard,london euston,birmingham new street,no railcard,9 days
advance,standard,london paddington,reading,no railcard,8 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
off-peak,standard,liverpool lime street,manchester piccadilly,disabled,0 days
off-peak,standard,york,edinburgh waverley,no railcard,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
off-peak,standard,manchester piccadilly,liverpool lime street,senior,0 days
off-peak,standard,manchester piccadilly,sheffield,adult,0 days
advance,first class,manchester piccadilly,liverpool lime street,no railcard,1 days
off-peak,standard,london paddington,reading,no railcard,0 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
anytime,standard,london euston,birmingham new street,disabled,0 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,senior,6 days
anytime,standard,london euston,birmingham new street,no railcard,0 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
anytime,standard,london kings cross,york,no railcard,0 days
advance,first class,london paddington,reading,no railcard,8 days
advance,standard,london paddington,reading,no railcard,3 days
advance,standard,london paddington,manchester piccadilly,no railcard,7 days
advance,standard,london paddington,reading,no railcard,11 days
advance,standard,manchester piccadilly,london euston,no railcard,1 days
anytime,standard,london st pancras,birmingham new street,no railcard,0 days
advance,first class,manchester piccadilly,liverpool lime street,senior,1 days
advance,standard,manchester piccadilly,liverpool lime street,adult,7 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,london euston,birmingham new street,disabled,1 days
anytime,standard,london paddington,reading,senior,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
anytime,first class,london st pancras,birmingham new street,no railcard,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,london euston,birmingham new street,adult,5 days
advance,standard,london st pancras,birmingham new street,disabled,2 days
advance,standard,manchester piccadilly,liverpool lime street,senior,5 days
advance,standard,london kings cross,york,adult,3 days
advance,standard,london st pancras,leicester,adult,9 days
advance,standard,london euston,birmingham new street,no railcard,1 days
anytime,standard,london st pancras,leicester,senior,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,5 days
advance,first class,london euston,birmingham new street,no railcard,1 days
off-peak,standard,london paddington,reading,no railcard,0 days
advance,standard,london paddington,reading,no railcard,8 days
advance,standard,liverpool lime street,manchester piccadilly,senior,1 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
advance,standard,london kings cross,york,no railcard,9 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
advance,first class,liverpool lime street,manchester piccadilly,adult,7 days
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days
advance,standard,london st pancras,leicester,senior,3 days
advance,standard,london st pancras,birmingham new street,no railcard,4 days
advance,standard,manchester piccadilly,liverpool lime street,senior,8 days
advance,standard,london st pancras,leicester,senior,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,3 days
advance,standard,london st pancras,birmingham new street,no railcard,5 days
advance,standard,birmingham new street,tamworth,no railcard,6 days
advance,standard,birmingham new street,tamworth,no railcard,1 days
advance,standard,london euston,manchester piccadilly,senior,4 days
advance,standard,london st pancras,birmingham new street,no railcard,5 days
advance,standard,birmingham new street,tamworth,no railcard,1 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,7 days
advance,standard,london paddington,reading,no railcard,1 days
advance,first class,london st pancras,birmingham new street,no railcard,6 days
advance,standard,london st pancras,birmingham new street,no railcard,8 days
advance,standard,york,edinburgh,no railcard,1 days
off-peak,standard,london euston,manchester piccadilly,adult,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,8 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,9 days
advance,first class,london kings cross,york,no railcard,1 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,birmingham new street,london euston,senior,1 days
advance,standard,london euston,manchester piccadilly,no railcard,1 days
advance,standard,london euston,manchester piccadilly,no railcard,6 days
advance,standard,london euston,birmingham new street,no railcard,9 days
advance,standard,london euston,birmingham new street,no railcard,5 days
advance,standard,london euston,birmingham new street,no railcard,1 days
advance,standard,birmingham new street,liverpool lime street,no railcard,4 days
advance,standard,birmingham new street,liverpool lime street,senior,1 days
advance,standard,london paddington,reading,adult,1 days
advance,standard,manchester piccadilly,london euston,adult,1 days
advance,standard,london euston,birmingham new street,no railcard,4 days
off-peak,standard,london kings cross,york,no railcard,0 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
off-peak,standard,york,durham,disabled,0 days
advance,standard,york,durham,disabled,5 days
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days
advance,standard,birmingham new street,london st pancras,adult,4 days
off-peak,standard,london kings cross,york,no railcard,0 days
advance,standard,york,durham,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,8 days
anytime,standard,london paddington,reading,senior,0 days
anytime,standard,london paddington,reading,senior,0 days
anytime,standard,manchester piccadilly,liverpool lime street,senior,0 days
anytime,standard,york,doncaster,disabled,0 days
anytime,standard,york,doncaster,disabled,0 days
advance,standard,york,durham,no railcard,7 days
anytime,standard,york,doncaster,disabled,0 days
anytime,first class,london kings cross,york,no railcard,0 days
anytime,standard,london euston,birmingham new street,no railcard,0 days
advance,standard,london euston,birmingham new street,no railcard,2 days
anytime,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
anytime,standard,london euston,birmingham new street,no railcard,0 days
advance,standard,london st pancras,birmingham new street,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
anytime,standard,liverpool lime street,london euston,no railcard,0 days
anytime,first class,london paddington,reading,no railcard,0 days
anytime,first class,manchester piccadilly,liverpool lime street,adult,0 days
off-peak,standard,london kings cross,york,no railcard,0 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
anytime,standard,london kings cross,edinburgh waverley,disabled,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,4 days
advance,standard,london paddington,reading,senior,5 days
advance,standard,london paddington,reading,senior,4 days
advance,standard,london kings cross,york,no railcard,8 days
advance,standard,birmingham new street,london st pancras,disabled,8 days
advance,standard,london euston,birmingham new street,adult,7 days
advance,standard,york,doncaster,disabled,4 days
advance,standard,birmingham new street,london st pancras,disabled,3 days
advance,standard,london paddington,reading,no railcard,5 days
advance,standard,london paddington,reading,no railcard,2 days
advance,standard,london paddington,oxford,no railcard,4 days
advance,standard,london paddington,reading,no railcard,6 days
advance,first class,london euston,birmingham new street,no railcard,6 days
advance,standard,reading,swindon,no railcard,1 days
advance,first class,london kings cross,york,no railcard,4 days
advance,standard,liverpool lime street,london euston,no railcard,1 days
advance,first class,manchester piccadilly,london euston,no railcard,1 days
advance,standard,liverpool lime street,london euston,no railcard,4 days
advance,standard,liverpool lime street,london euston,no railcard,2 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
off-peak,standard,liverpool lime street,manchester piccadilly,adult,0 days
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days
advance,standard,london paddington,reading,no railcard,8 days
advance,standard,london kings cross,york,no railcard,7 days
off-peak,standard,liverpool lime street,manchester piccadilly,adult,0 days
off-peak,standard,london paddington,reading,disabled,0 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
advance,first class,birmingham new street,manchester piccadilly,adult,6 days
off-peak,standard,london euston,birmingham new street,no railcard,0 days
advance,standard,liverpool lime street,manchester piccadilly,disabled,7 days
off-peak,standard,london paddington,manchester piccadilly,no railcard,0 days
advance,standard,london kings cross,york,senior,6 days
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
anytime,standard,manchester piccadilly,liverpool lime street,no railcard,0 days
anytime,standard,london st pancras,birmingham new street,no railcard,0 days
anytime,standard,london euston,birmingham new street,disabled,0 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,8 days
advance,standard,manchester piccadilly,liverpool lime street,senior,7 days
advance,standard,london paddington,reading,no railcard,7 days
advance,first class,manchester piccadilly,liverpool lime street,senior,2 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,manchester piccadilly,sheffield,adult,1 days
anytime,standard,london kings cross,york,no railcard,0 days
advance,standard,london paddington,liverpool lime street,adult,3 days
advance,standard,london paddington,reading,no railcard,5 days
advance,standard,edinburgh waverley,london kings cross,no railcard,8 days
anytime,first class,manchester piccadilly,liverpool lime street,no railcard,0 days
advance,standard,manchester piccadilly,london euston,senior,5 days
advance,standard,london st pancras,birmingham new street,no railcard,2 days
advance,standard,london kings cross,york,no railcard,1 days
advance,first class,london st pancras,birmingham new street,no railcard,7 days
anytime,standard,london euston,manchester piccadilly,no railcard,0 days
anytime,standard,liverpool lime street,crewe,senior,0 days
advance,standard,manchester piccadilly,liverpool lime street,senior,6 days
advance,standard,london euston,birmingham new street,adult,6 days
advance,standard,manchester piccadilly,liverpool lime street,senior,6 days
advance,standard,liverpool lime street,manchester piccadilly,no railcard,5 days
advance,standard,manchester piccadilly,london euston,adult,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,8 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,london paddington,reading,adult,1 days
advance,standard,london kings cross,york,no railcard,3 days
advance,standard,london st pancras,birmingham new street,no railcard,5 days
advance,standard,london st pancras,leicester,senior,6 days
advance,standard,london kings cross,york,senior,2 days
advance,standard,london paddington,reading,no railcard,1 days
advance,standard,london st pancras,leicester,senior,1 days
advance,standard,birmingham new street,tamworth,no railcard,1 days
off-peak,standard,birmingham new street,liverpool lime street,no railcard,0 days
advance,standard,birmingham new street,tamworth,no railcard,1 days
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days
advance,standard,liverpool lime street,crewe,senior,4 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,liverpool lime street,crewe,senior,4 days
advance,standard,london kings cross,york,no railcard,1 days
advance,standard,london paddington,reading,no railcard,2 days
advance,standard,london kings cross,york,no railcard,3 days
advance,standard,london kings cross,york,no railcard,7 days
advance,standard,london kings cross,york,no railcard,7 days
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days
off-peak,standard,london euston,manchester piccadilly,adult,0 days
